"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"531","Favites chinensis","Favites chinensis","species",207451,29899,2260088,788194,"Favites chinensis","Favites chinensis","Favites chinensis","Favites chinensis (Verrill, 1866)","Cnidaria","accepted",NA,FALSE,"","(Verrill, 1866)","Animalia","Anthozoa","Scleractinia","Merulinidae","Favites","0","0"
"532","Goniastrea pectinata","Goniastrea pectinata","species",207464,29897,2260147,1076555,"Goniastrea pectinata","Goniastrea pectinata","Goniastrea pectinata","Goniastrea pectinata (Ehrenberg, 1834)","Cnidaria","accepted",NA,FALSE,"sibling_higher","(Ehrenberg, 1834)","Animalia","Anthozoa","Scleractinia","Merulinidae","Goniastrea","0","0"
"533","Leptoria irregularis","Leptoria irregularis","species",287785,29894,5184712,968678,"Leptoria irregularis","Leptoria irregularis","Leptoria irregularis","Leptoria irregularis Veron, 1990","Cnidaria","accepted",NA,FALSE,"","Veron, 1990","Animalia","Anthozoa","Scleractinia","Merulinidae","Leptoria","0","0"
"534","Leptoria phrygia","Leptoria phrygia","species",207477,29893,5184713,931472,"Leptoria phrygia","Leptoria phrygia","Leptoria phrygia","Leptoria phrygia (Ellis & Solander, 1786)","Cnidaria","accepted",NA,FALSE,"","(Ellis & Solander, 1786)","Animalia","Anthozoa","Scleractinia","Merulinidae","Leptoria","0","0"
"535","Caulastraea furcata","Caulastraea furcata","species",289577,29891,2260169,543332,"Caulastraea furcata","Caulastraea furcata","Caulastraea furcata","Caulastraea furcata Dana, 1846","Cnidaria","accepted",NA,FALSE,"","Dana, 1846","Animalia","Anthozoa","Scleractinia","Merulinidae","Caulastraea","0","0"
"536","Oulophyllia crispa","Oulophyllia crispa","species",207485,29889,2260178,377284,"Oulophyllia crispa","Oulophyllia crispa","Oulophyllia crispa","Oulophyllia crispa (Lamarck, 1816)","Cnidaria","accepted",NA,FALSE,"","(Lamarck, 1816)","Animalia","Anthozoa","Scleractinia","Merulinidae","Oulophyllia","0","0"
"537","Oulophyllia bennettae","Oulophyllia bennettae","species",288394,29888,2260179,1076570,"Oulophyllia bennettae","Oulophyllia bennettae","Oulophyllia bennettae","Oulophyllia bennettae (Veron, Pichon & Wijsman-Best, 1977)","Cnidaria","accepted",NA,FALSE,"","(Veron, Pichon & Wijsman-Best, 1977)","Animalia","Anthozoa","Scleractinia","Merulinidae","Oulophyllia","0","0"
"538","Montastraea","Montastraea","genus",204717,24792,2260048,955276,"Montastraea","Montastraea","Montastraea","Montastraea Blainville, 1830","Cnidaria","accepted",NA,FALSE,"","Blainville, 1830","Animalia","Anthozoa","Scleractinia","Montastraeidae","Montastraea","0","0"
"539","Platygyra daedalea","Platygyra daedalea","species",207489,29882,5184733,675583,"Platygyra daedalea","Platygyra daedalea","Platygyra daedalea","Platygyra daedalea (Ellis & Solander, 1786)","Cnidaria","accepted",NA,FALSE,"","(Ellis & Solander, 1786)","Animalia","Anthozoa","Scleractinia","Merulinidae","Platygyra","0","0"
"540","Platygyra lamellina","Platygyra lamellina","species",207487,29881,5184732,918434,"Platygyra lamellina","Platygyra lamellina","Platygyra lamellina","Platygyra lamellina (Ehrenberg, 1834)","Cnidaria","accepted",NA,FALSE,"","(Ehrenberg, 1834)","Animalia","Anthozoa","Scleractinia","Merulinidae","Platygyra","0","0"
"541","Merulina ampliata","Merulina ampliata","species",207407,29879,2259537,468329,"Merulina ampliata","Merulina ampliata","Merulina ampliata","Merulina ampliata (Ellis & Solander, 1786)","Cnidaria","accepted",NA,FALSE,"","(Ellis & Solander, 1786)","Animalia","Anthozoa","Scleractinia","Merulinidae","Merulina","0","0"
"542","Merulina scabricula","Merulina scabricula","species",289198,29878,2259539,176716,"Merulina scabricula","Merulina scabricula","Merulina scabricula","Merulina scabricula Dana, 1846","Cnidaria","accepted",NA,FALSE,"","Dana, 1846","Animalia","Anthozoa","Scleractinia","Merulinidae","Merulina","0","0"
"543","Hydnophora exesa","Hydnophora exesa","species",207403,29876,2259533,337254,"Hydnophora exesa","Hydnophora exesa","Hydnophora exesa","Hydnophora exesa (Pallas, 1766)","Cnidaria","accepted",NA,FALSE,"sibling_higher","(Pallas, 1766)","Animalia","Anthozoa","Scleractinia","Merulinidae","Hydnophora","0","0"
"544","Hydnophora grandis","Hydnophora grandis","species",287996,29875,2259531,821870,"Hydnophora grandis","Hydnophora grandis","Hydnophora grandis","Hydnophora grandis Gardiner, 1904","Cnidaria","accepted",NA,FALSE,"sibling_higher","Gardiner, 1904","Animalia","Anthozoa","Scleractinia","Merulinidae","Hydnophora","0","0"
"545","Trachyphyllia geoffroyi","Trachyphyllia geoffroyi","species",207495,29872,2258919,999958,"Trachyphyllia geoffroyi","Trachyphyllia geoffroyi","Trachyphyllia geoffroyi","Trachyphyllia geoffroyi (Audouin, 1826)","Cnidaria","accepted",NA,FALSE,"","(Audouin, 1826)","Animalia","Anthozoa","Scleractinia","Merulinidae","Trachyphyllia","0","0"
"546","Montastraea cavernosa","Montastraea cavernosa","species",287962,29869,2260050,939291,"Montastraea cavernosa","Montastraea cavernosa","Montastraea cavernosa","Montastraea cavernosa (Linnaeus, 1767)","Cnidaria","accepted",NA,FALSE,"","(Linnaeus, 1767)","Animalia","Anthozoa","Scleractinia","Montastraeidae","Montastraea","0","0"
"547","Eusmilia fastigiata","Eusmilia fastigiata","species",289939,29859,2259738,50367,"Eusmilia fastigiata","Eusmilia fastigiata","Eusmilia fastigiata","Eusmilia fastigiata (Pallas, 1766)","Cnidaria","accepted",NA,FALSE,"","(Pallas, 1766)","Animalia","Anthozoa","Scleractinia","Meandrinidae","Eusmilia","0","0"
"548","Meandrina meandrites","Meandrina meandrites","species",289232,29856,2259752,906672,"Meandrina meandrites","Meandrina meandrites","Meandrina meandrites","Meandrina meandrites (Linnaeus, 1758)","Cnidaria","accepted",NA,FALSE,"","(Linnaeus, 1758)","Animalia","Anthozoa","Scleractinia","Meandrinidae","Meandrina","0","0"
"549","Meandrina braziliensis","Meandrina braziliensis",NA,NA,NA,NA,973244,NA,"Meandrina braziliensis",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"550","Dichocoenia","Dichocoenia","genus",267382,29852,2259740,846473,"Dichocoenia","Dichocoenia","Dichocoenia","Dichocoenia Milne Edwards & Haime, 1848","Cnidaria","accepted",NA,FALSE,"","Milne Edwards & Haime, 1848","Animalia","Anthozoa","Scleractinia","Meandrinidae","Dichocoenia","0","0"
"551","Dendrogyra cylindrus","Dendrogyra cylindrus","species",418865,29851,4944083,623075,"Dendrogyra cylindrus","Dendrogyra cylindrus","Dendrogyra cylindrus","Dendrogyra cylindrus (Ehrenberg, 1834)","Cnidaria","accepted",NA,FALSE,"","(Ehrenberg, 1834)","Animalia","Anthozoa","Scleractinia","Meandrinidae","Dendrogyra","0","0"
"552","Pectinia alcicornis","Pectinia alcicornis","species",288403,29848,5184541,593325,"Pectinia alcicornis","Pectinia alcicornis","Pectinia alcicornis","Pectinia alcicornis (Saville Kent, 1871)","Cnidaria","accepted",NA,FALSE,"","(Saville Kent, 1871)","Animalia","Anthozoa","Scleractinia","Merulinidae","Pectinia","0","0"
"553","Pectinia paeonia","Pectinia paeonia","species",207377,29847,5184542,549848,"Pectinia paeonia","Pectinia paeonia","Pectinia paeonia","Pectinia paeonia (Dana, 1846)","Cnidaria","accepted",NA,FALSE,"","(Dana, 1846)","Animalia","Anthozoa","Scleractinia","Merulinidae","Pectinia","0","0"
"554","Mycedium elephantotus","Mycedium elephantotus","species",207373,29845,2259528,933778,"Mycedium elephantotus","Mycedium elephantotus","Mycedium elephantotus","Mycedium elephantotus (Pallas, 1766)","Cnidaria","accepted",NA,FALSE,"","(Pallas, 1766)","Animalia","Anthozoa","Scleractinia","Merulinidae","Mycedium","0","0"
"555","Maeotias marginata","Maeotias marginata","species",234026,31227,2266741,350088,"Maeotias marginata","Maeotias marginata","Maeotias marginata","Maeotias marginata (Modeer, 1791)","Cnidaria","accepted",NA,FALSE,"","(Modeer, 1791)","Animalia","Hydrozoa","Limnomedusae","Olindiidae","Maeotias","0","0"
"556","Stephanocoenia michelinii","Stephanocoenia michelinii",NA,NA,NA,NA,292624,NA,"Stephanocoenia michelinii",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"557","Madracis","Madracis","genus",135125,30052,2259474,112479,"Madracis","Madracis","Madracis","Madracis Milne Edwards & Haime, 1849","Cnidaria","accepted",NA,FALSE,"","Milne Edwards & Haime, 1849","Animalia","Anthozoa","Scleractinia","Pocilloporidae","Madracis","0","0"
"558","Porites astreoides","Porites astreoides","species",288889,30040,5184785,208979,"Porites astreoides","Porites astreoides","Porites astreoides","Porites astreoides Lamarck, 1816","Cnidaria","accepted",NA,FALSE,"","Lamarck, 1816","Animalia","Anthozoa","Scleractinia","Poritidae","Porites","0","0"
"559","Siderastrea siderea","Siderastrea siderea","species",207516,30033,2258895,215893,"Siderastrea siderea","Siderastrea siderea","Siderastrea siderea","Siderastrea siderea (Ellis & Solander, 1786)","Cnidaria","accepted",NA,FALSE,"","(Ellis & Solander, 1786)","Animalia","Anthozoa","Scleractinia","Rhizangiidae","Siderastrea","0","0"
"560","Campanularia hincksii","Campanularia hincksii","species",117364,83432,5186104,144201,"Campanularia hincksii","Campanularia hincksii","Campanularia hincksii","Campanularia hincksii Alder, 1856","Cnidaria","accepted",NA,FALSE,"","Alder, 1856","Animalia","Hydrozoa","Leptothecata","Campanulariidae","Campanularia","0","0"
"561","Orthopyxis integra","Orthopyxis integra","species",117393,80776,5186073,144192,"Orthopyxis integra","Orthopyxis integra","Orthopyxis integra","Orthopyxis integra (MacGillivray, 1842)","Cnidaria","accepted",NA,FALSE,"","(MacGillivray, 1842)","Animalia","Hydrozoa","Leptothecata","Campanulariidae","Orthopyxis","0","0"
"562","Rhizocaulus verticillatus","Rhizocaulus verticillatus","species",117399,83434,2268138,296260,"Rhizocaulus verticillatus","Rhizocaulus verticillatus","Rhizocaulus verticillatus","Rhizocaulus verticillatus (Linnaeus, 1758)","Cnidaria","accepted",NA,FALSE,"","(Linnaeus, 1758)","Animalia","Hydrozoa","Leptothecata","Campanulariidae","Rhizocaulus","0","0"
"563","Bonneviella regia","Bonneviella regia","species",284219,80778,2267128,296264,"Bonneviella regia","Bonneviella regia","Bonneviella regia","Bonneviella regia (Nutting, 1901)","Cnidaria","accepted",NA,FALSE,"","(Nutting, 1901)","Animalia","Hydrozoa","Leptothecata","Bonneviellidae","Bonneviella","0","0"
"564","Obelia bidentata","Obelia bidentata","species",117385,82159,2268145,782818,"Obelia bidentata","Obelia bidentata","Obelia bidentata","Obelia bidentata Clark, 1875","Cnidaria","accepted",NA,FALSE,"","Clark, 1875","Animalia","Hydrozoa","Leptothecata","Campanulariidae","Obelia","0","0"
