"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","order","family","genus","freshwater_only","terrestrial_only"
"1389","Vrijenhoekia","Vrijenhoekia","genus",743811,211492,8122669,136846,"Vrijenhoekia","Vrijenhoekia","Vrijenhoekia","Vrijenhoekia Pleijel, Rouse, Ruta, Wiklund & Nygren, 2008","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Pleijel, Rouse, Ruta, Wiklund & Nygren, 2008","Animalia","Phyllodocida","Hesionidae","Vrijenhoekia","0","0"
"1390","Astacopsidrilus","Astacopsidrilus","genus",993324,212166,2308255,305024,"Astacopsidrilus","Astacopsidrilus","Astacopsidrilus","Astacopsidrilus Goddard, 1909","Annelida","Clitellata","accepted",NA,FALSE,"sibling_higher","Goddard, 1909","Animalia","Tubificida","Phreodrilidae","Astacopsidrilus","0","0"
"1391","Grania trichaeta","Grania trichaeta","species",475718,299341,5854756,329657,"Grania trichaeta","Grania trichaeta","Grania trichaeta","Grania trichaeta Jamieson, 1977","Annelida","Clitellata","accepted",NA,FALSE,"","Jamieson, 1977","Animalia","Enchytraeida","Enchytraeidae","Grania","0","0"
"1392","Questa ersei","Questa ersei",NA,NA,NA,NA,60515,NA,"Questa ersei",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"",NA,NA,NA,"Questidae",NA,NA,NA
"1393","Nephtys cirrosa","Nephtys cirrosa","species",130357,370306,2316920,777009,"Nephtys cirrosa","Nephtys cirrosa","Nephtys cirrosa","Nephtys cirrosa Ehlers, 1868","Annelida","Polychaeta","accepted",NA,FALSE,"","Ehlers, 1868","Animalia","Phyllodocida","Nephtyidae","Nephtys","0","0"
"1394","Aglaophamus","Aglaophamus","genus",129366,377867,2316799,910977,"Aglaophamus","Aglaophamus","Aglaophamus","Aglaophamus Kinberg, 1866","Annelida","Polychaeta","accepted",NA,FALSE,"","Kinberg, 1866","Animalia","Phyllodocida","Nephtyidae","Aglaophamus","0","0"
"1395","Ninoe leptognatha","Ninoe leptognatha","species",329951,300479,2322794,177548,"Ninoe leptognatha","Ninoe leptognatha","Ninoe leptognatha","Ninoe leptognatha Ehlers, 1900","Annelida","Polychaeta","accepted",NA,FALSE,"","Ehlers, 1900","Animalia","Eunicida","Lumbrineridae","Ninoe","0","0"
"1396","Melinna cristata","Melinna cristata",NA,NA,NA,NA,974917,NA,"Melinna cristata",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"",NA,NA,NA,"Ampharetidae",NA,NA,NA
"1397","Eunice notata","Eunice notata",NA,NA,NA,NA,494530,NA,"Eunice notata",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"",NA,NA,NA,"Eunicidae",NA,NA,NA
"1398","Eunice violaceomaculata","Eunice violaceomaculata","species",327810,589059,5198365,4978421,"Eunice violaceomaculata","Eunice violaceomaculata","Eunice violaceomaculata","Eunice violaceomaculata Ehlers, 1887","Annelida","Polychaeta","accepted",NA,FALSE,"","Ehlers, 1887","Animalia","Eunicida","Eunicidae","Eunice","0","0"
