"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"10170","Nannaethiops gracilis","Nannaethiops gracilis","species",NA,681658,5962504,3624645,NA,"Nannaethiops gracilis","Nannaethiops gracilis","Nannaethiops gracilis (Matthes, 1964)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10171","Sebastes koreanus","Sebastes koreanus","species",274810,682614,2335387,650050,"Sebastes koreanus","Sebastes koreanus","Sebastes koreanus","Sebastes koreanus Kim & Lee, 1994","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes koreanus",1821,843664,293496,11014,125596,126175,274810,"Kim & Lee, 1994",FALSE,"sibling_higher"
"10172","Schizodon scotorhabdotus","Schizodon scotorhabdotus","species",NA,739808,5204594,3625596,NA,"Schizodon scotorhabdotus","Schizodon scotorhabdotus","Schizodon scotorhabdotus Sidlauskas, Garavello & Jellen, 2007","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10173","Curimatella dorsalis","Curimatella dorsalis","species",NA,598304,2355011,568950,NA,"Curimatella dorsalis","Curimatella dorsalis","Curimatella dorsalis (Eigenmann & Eigenmann, 1889)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10174","Cyphocharax gouldingi","Cyphocharax gouldingi","species",NA,793093,2355112,3624527,NA,"Cyphocharax gouldingi","Cyphocharax gouldingi","Cyphocharax gouldingi Vari, 1992","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10175","Prochilodus reticulatus","Prochilodus reticulatus","species",282358,606744,2352180,435762,"Prochilodus reticulatus","Prochilodus reticulatus","Prochilodus reticulatus","Prochilodus reticulatus Valenciennes, 1850","Chordata","Actinopteri","Teleostei","Characiformes","Prochilodontidae","Prochilodus","Prochilodus reticulatus",1821,843664,293496,151956,267008,270515,282358,"Valenciennes, 1850",FALSE,""
"10176","Phycis phycis","Phycis phycis","species",126502,86808,5214915,674591,"Phycis phycis","Phycis phycis","Phycis phycis","Phycis phycis (Linnaeus, 1766)","Chordata","Actinopteri","Teleostei","Gadiformes","Phycidae","Phycis","Phycis phycis",1821,843664,293496,10313,125475,125773,126502,"(Linnaeus, 1766)",FALSE,""
"10177","Jaydia queketti","Jaydia queketti","species",209280,706363,2397204,1032721,"Jaydia queketti","Jaydia queketti","Jaydia queketti","Jaydia queketti (Gilchrist, 1903)","Chordata","Actinopteri","Teleostei","Kurtiformes","Apogonidae","Jaydia","Jaydia queketti",1821,843664,293496,1517499,125518,206779,209280,"(Gilchrist, 1903)",FALSE,""
"10178","Apogonichthyoides pharaonis","Apogonichthyoides pharaonis","species",475090,541712,5853511,1032717,"Apogonichthyoides pharaonis","Apogonichthyoides pharaonis","Apogonichthyoides pharaonis","Apogonichthyoides pharaonis (Bellotti, 1874)","Chordata","Actinopteri","Teleostei","Kurtiformes","Apogonidae","Apogonichthyoides","Apogonichthyoides pharaonis",1821,843664,293496,1517499,125518,204673,475090,"(Bellotti, 1874)",FALSE,""
"10179","Cynoglossus sinusarabici","Cynoglossus sinusarabici","species",127132,535508,2409598,3640583,"Cynoglossus sinusarabici","Cynoglossus sinusarabici","Cynoglossus sinusarabici","Cynoglossus sinusarabici (Chabanaud, 1931)","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Cynoglossidae","Cynoglossus","Cynoglossus sinusarabici",1821,843664,293496,10331,125578,126112,127132,"(Chabanaud, 1931)",FALSE,""
"10180","Dasyatis pastinaca","Dasyatis pastinaca","species",105851,253449,2419543,849605,"Dasyatis pastinaca","Dasyatis pastinaca","Dasyatis pastinaca","Dasyatis pastinaca (Linnaeus, 1758)","Chordata","Elasmobranchii","Neoselachii","Myliobatiformes","Dasyatidae","Dasyatis","Dasyatis pastinaca",1821,10193,368407,196069,105708,105751,105851,"(Linnaeus, 1758)",FALSE,"sibling_higher"
"10181","Deltentosteus quadrimaculatus","Deltentosteus quadrimaculatus","species",126880,541715,2376296,678454,"Deltentosteus quadrimaculatus","Deltentosteus quadrimaculatus","Deltentosteus quadrimaculatus","Deltentosteus quadrimaculatus (Valenciennes, 1837)","Chordata","Actinopteri","Teleostei","Gobiiformes","Gobiidae","Deltentosteus","Deltentosteus quadrimaculatus",1821,843664,293496,1517500,125537,125985,126880,"(Valenciennes, 1837)",FALSE,""
"10182","Echelus myrus","Echelus myrus","species",126314,253452,2404804,167824,"Echelus myrus","Echelus myrus","Echelus myrus","Echelus myrus (Linnaeus, 1758)","Chordata","Actinopteri","Teleostei","Anguilliformes","Ophichthidae","Echelus","Echelus myrus",1821,843664,293496,10295,125434,125646,126314,"(Linnaeus, 1758)",FALSE,""
"10183","Mycteroperca rubra","Mycteroperca rubra","species",127039,86805,2388997,961307,"Mycteroperca rubra","Mycteroperca rubra","Mycteroperca rubra","Mycteroperca rubra (Bloch, 1793)","Chordata","Actinopteri","Teleostei","Perciformes","Serranidae","Mycteroperca","Mycteroperca rubra",1821,843664,293496,11014,125561,126069,127039,"(Bloch, 1793)",FALSE,""
"10184","Nemipterus randalli","Nemipterus randalli","species",218518,541720,2379964,3633484,"Nemipterus randalli","Nemipterus randalli","Nemipterus randalli","Nemipterus randalli Russell, 1986","Chordata","Actinopteri","Teleostei","Eupercaria incertae sedis","Nemipteridae","Nemipterus","Nemipterus randalli",1821,843664,293496,1517577,151459,205457,218518,"Russell, 1986",FALSE,""
"10185","Petroscirtes ancylodon","Petroscirtes ancylodon","species",219330,541721,2395422,3639582,"Petroscirtes ancylodon","Petroscirtes ancylodon","Petroscirtes ancylodon","Petroscirtes ancylodon Rüppell, 1835","Chordata","Actinopteri","Teleostei","Blenniiformes","Blenniidae","Petroscirtes","Petroscirtes ancylodon",1821,843664,293496,1517542,125519,206616,219330,"Rüppell, 1835",FALSE,""
"10186","Saurida macrolepis","Saurida macrolepis","species",272114,305525,2401171,3629198,"Saurida macrolepis","Saurida macrolepis","Saurida macrolepis","Saurida macrolepis Tanaka, 1917","Chordata","Actinopteri","Teleostei","Aulopiformes","Synodontidae","Saurida","Saurida macrolepis",1821,843664,293496,10308,125449,125685,272114,"Tanaka, 1917",FALSE,""
"10187","Sphyraena viridensis","Sphyraena viridensis","species",127069,519461,2394222,688005,"Sphyraena viridensis","Sphyraena viridensis","Sphyraena viridensis","Sphyraena viridensis Cuvier, 1829","Chordata","Actinopteri","Teleostei","Carangaria incertae sedis","Sphyraenidae","Sphyraena","Sphyraena viridensis",1821,843664,293496,1517511,125565,126084,127069,"Cuvier, 1829",FALSE,"incertae_sedis_inherited"
"10188","Upeneus pori","Upeneus pori","species",273671,535512,2396797,551153,"Upeneus pori","Upeneus pori","Upeneus pori","Upeneus pori Ben-Tuvia & Golani, 1989","Chordata","Actinopteri","Teleostei","Mulliformes","Mullidae","Upeneus","Upeneus pori",1821,843664,293496,1517498,125547,126036,273671,"Ben-Tuvia & Golani, 1989",FALSE,""
"10189","Trachinus araneus","Trachinus araneus","species",127081,535511,2386478,3639863,"Trachinus araneus","Trachinus araneus","Trachinus araneus","Trachinus araneus Cuvier, 1829","Chordata","Actinopteri","Teleostei","Perciformes","Trachinidae","Trachinus","Trachinus araneus",1821,843664,293496,11014,125570,126094,127081,"Cuvier, 1829",FALSE,""
"10190","Abramites hypselonotus","Abramites hypselonotus","species",NA,545851,2355545,3625691,NA,"Abramites hypselonotus","Abramites hypselonotus","Abramites hypselonotus (Günther, 1868)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10191","Anodus orinocensis","Anodus orinocensis","species",NA,594305,5204562,673678,NA,"Anodus orinocensis","Anodus orinocensis","Anodus orinocensis (Steindachner, 1887)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10192","Curimata cyprinoides","Curimata cyprinoides","species",NA,48084,2354942,3624560,NA,"Curimata cyprinoides","Curimata cyprinoides","Curimata cyprinoides (Linnaeus, 1766)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10193","Hypomasticus pachycheilus","Hypomasticus pachycheilus","species",NA,594315,5962516,4139024,NA,"Hypomasticus pachycheilus","Hypomasticus pachycheilus","Hypomasticus pachycheilus (Britski, 1976)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
