"","name","rank","phylum","class","subclass","order","family","genus","species"
"29","Sebastes melanops","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes melanops"
"30","Platichthys stellatus","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Pleuronectidae","Platichthys","Platichthys stellatus"
"31","Squalus suckleyi","species","Chordata","Elasmobranchii","Neoselachii","Squaliformes","Squalidae","Squalus","Squalus suckleyi"
"32","Hydrolagus colliei","species","Chordata","Holocephali",NA,"Chimaeriformes","Chimaeridae","Hydrolagus","Hydrolagus colliei"
"33","Sebastes maliger","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes maliger"
"34","Sebastes ruberrimus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes ruberrimus"
"35","Hippoglossus stenolepis","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus stenolepis"
"36","Sebastes elongatus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes elongatus"
"37","Sebastes nigrocinctus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes nigrocinctus"
"38","Sebastes brevispinis","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes brevispinis"
"39","Gadus macrocephalus","species","Chordata","Actinopteri","Teleostei","Gadiformes","Gadidae","Gadus","Gadus macrocephalus"
"40","Hexagrammos decagrammus","species","Chordata","Actinopteri","Teleostei","Perciformes","Hexagrammidae","Hexagrammos","Hexagrammos decagrammus"
"41","Anoplopoma fimbria","species","Chordata","Actinopteri","Teleostei","Perciformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria"
"42","Atheresthes stomias","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias"
"43","Citharichthys sordidus","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys sordidus"
"44","Sebastes pinniger","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes pinniger"
"45","Lepidopsetta bilineata","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Pleuronectidae","Lepidopsetta","Lepidopsetta bilineata"
"46","Myoxocephalus polyacanthocephalus","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus polyacanthocephalus"
"47","Sebastes flavidus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes flavidus"
"48","Hemilepidotus spinosus","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Hemilepidotus","Hemilepidotus spinosus"
"49","Hemilepidotus hemilepidotus","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Hemilepidotus","Hemilepidotus hemilepidotus"
"50","Sebastes helvomaculatus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes helvomaculatus"
"51","Sebastes proriger","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes proriger"
"52","Sebastes variegatus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes variegatus"
"53","Sebastes zacentrus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes zacentrus"
"54","Sebastes entomelas","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes entomelas"
"55","Sebastes nebulosus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes nebulosus"
"56","Bathyraja interrupta","species","Chordata","Elasmobranchii","Neoselachii","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja interrupta"
"57","Sebastes diaconus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes diaconus"
"58","Eopsetta jordani","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Pleuronectidae","Eopsetta","Eopsetta jordani"
"59","Enophrys bison","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Enophrys","Enophrys bison"
"60","Scorpaenichthys marmoratus","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Scorpaenichthys","Scorpaenichthys marmoratus"
"61","Hippoglossoides elassodon","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides elassodon"
"62","Icelinus tenuis","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Icelinus","Icelinus tenuis"
"63","Leptocottus armatus","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Leptocottus","Leptocottus armatus"
"64","Lyopsetta exilis","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Pleuronectidae","Lyopsetta","Lyopsetta exilis"
"65","Cottidae","family","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae",NA,NA
"66","Hexanchus griseus","species","Chordata","Elasmobranchii","Neoselachii","Hexanchiformes","Hexanchidae","Hexanchus","Hexanchus griseus"
"67","Pleuronectiformes","order","Chordata","Actinopteri","Teleostei","Pleuronectiformes",NA,NA,NA
"68","Merluccius productus","species","Chordata","Actinopteri","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius productus"
"69","Apristurus brunneus","species","Chordata","Elasmobranchii","Neoselachii","Carcharhiniformes","Pentanchidae","Apristurus","Apristurus brunneus"
"70","Zoarcidae","family","Chordata","Actinopteri","Teleostei","Perciformes","Zoarcidae",NA,NA
"71","Malacocottus kincaidi","species","Chordata","Actinopteri","Teleostei","Perciformes","Psychrolutidae","Malacocottus","Malacocottus kincaidi"
"72","Lumpenella longirostris","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Lumpenella","Lumpenella longirostris"
"73","Pseudobathylagus milleri","species","Chordata","Actinopteri","Teleostei","Argentiniformes","Bathylagidae","Pseudobathylagus","Pseudobathylagus milleri"
"74","Sebastes","genus","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes",NA
"75","Lycodes brevipes","species","Chordata","Actinopteri","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes brevipes"
"76","Paraliparis paucidens","species","Chordata","Actinopteri","Teleostei","Perciformes","Liparidae","Paraliparis","Paraliparis paucidens"
"77","Sebastolobus altivelis","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastolobus","Sebastolobus altivelis"
"78","Pleuronichthys coenosus","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronichthys","Pleuronichthys coenosus"
"79","Oncorhynchus tshawytscha","species","Chordata","Actinopteri","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus tshawytscha"
"80","Coryphaenoides acrolepis","species","Chordata","Actinopteri","Teleostei","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides acrolepis"
"81","Leuroglossus schmidti","species","Chordata","Actinopteri","Teleostei","Argentiniformes","Bathylagidae","Leuroglossus","Leuroglossus schmidti"
"82","Notacanthus chemnitzii","species","Chordata","Actinopteri","Teleostei","Notacanthiformes","Notacanthidae","Notacanthus","Notacanthus chemnitzii"
"83","Sardinops sagax","species","Chordata","Actinopteri","Teleostei","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax"
"84","Pholis clemensi","species","Chordata","Actinopteri","Teleostei","Perciformes","Pholidae","Pholis","Pholis clemensi"
"85","Bathyagonus pentacanthus","species","Chordata","Actinopteri","Teleostei","Perciformes","Agonidae","Bathyagonus","Bathyagonus pentacanthus"
"86","Diaphus theta","species","Chordata","Actinopteri","Teleostei","Myctophiformes","Myctophidae","Diaphus","Diaphus theta"
"87","Liparis pulchellus","species","Chordata","Actinopteri","Teleostei","Perciformes","Liparidae","Liparis","Liparis pulchellus"
"88","Aphanopus intermedius","species","Chordata","Actinopteri","Teleostei","Scombriformes","Trichiuridae","Aphanopus","Aphanopus intermedius"
"89","Chauliodus macouni","species","Chordata","Actinopteri","Teleostei","Stomiiformes","Stomiidae","Chauliodus","Chauliodus macouni"
"90","Sebastes diploproa","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes diploproa"
"91","Pholis laeta","species","Chordata","Actinopteri","Teleostei","Perciformes","Pholidae","Pholis","Pholis laeta"
"92","Careproctus attenuatus","species","Chordata","Actinopteri","Teleostei","Perciformes","Liparidae","Careproctus","Careproctus attenuatus"
"93","Glyptocephalus zachirus","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus zachirus"
"94","Paraliparis pectoralis","species","Chordata","Actinopteri","Teleostei","Perciformes","Liparidae","Paraliparis","Paraliparis pectoralis"
"95","Rimicola muscarum","species","Chordata","Actinopteri","Teleostei","Gobiesociformes","Gobiesocidae","Rimicola","Rimicola muscarum"
"96","Odontopyxis trispinosa","species","Chordata","Actinopteri","Teleostei","Perciformes","Agonidae","Odontopyxis","Odontopyxis trispinosa"
"97","Artedius fenestralis","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Artedius","Artedius fenestralis"
"98","Microstomus pacificus","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus pacificus"
"99","Pholis ornata","species","Chordata","Actinopteri","Teleostei","Perciformes","Pholidae","Pholis","Pholis ornata"
"100","Sebastes alutus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes alutus"
"101","Somniosus pacificus","species","Chordata","Elasmobranchii","Neoselachii","Squaliformes","Somniosidae","Somniosus","Somniosus pacificus"
"102","Aphanopus arigato","species","Chordata","Actinopteri","Teleostei","Scombriformes","Trichiuridae","Aphanopus","Aphanopus arigato"
"103","Careproctus cypselurus","species","Chordata","Actinopteri","Teleostei","Perciformes","Liparidae","Careproctus","Careproctus cypselurus"
"104","Sebastes saxicola","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes saxicola"
"105","Alosa sapidissima","species","Chordata","Actinopteri","Teleostei","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima"
"106","Malacocottus zonurus","species","Chordata","Actinopteri","Teleostei","Perciformes","Psychrolutidae","Malacocottus","Malacocottus zonurus"
"107","Paraliparis","genus","Chordata","Actinopteri","Teleostei","Perciformes","Liparidae","Paraliparis",NA
"108","Aulorhynchus flavidus","species","Chordata","Actinopteri","Teleostei","Perciformes","Aulorhynchidae","Aulorhynchus","Aulorhynchus flavidus"
"109","Icelinus filamentosus","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Icelinus","Icelinus filamentosus"
"110","Paraliparis dactylosus","species","Chordata","Actinopteri","Teleostei","Perciformes","Liparidae","Paraliparis","Paraliparis dactylosus"
"111","Sebastes borealis","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes borealis"
"112","Melamphaes lugubris","species","Chordata","Actinopteri","Teleostei","Beryciformes","Melamphaidae","Melamphaes","Melamphaes lugubris"
"113","Sebastes semicinctus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes semicinctus"
"114","Clupea pallasii pallasii","subspecies","Chordata","Actinopteri","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea pallasii"
"115","Pleuronichthys decurrens","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronichthys","Pleuronichthys decurrens"
"116","Stenobrachius leucopsarus","species","Chordata","Actinopteri","Teleostei","Myctophiformes","Myctophidae","Stenobrachius","Stenobrachius leucopsarus"
"117","Aristostomias scintillans","species","Chordata","Actinopteri","Teleostei","Stomiiformes","Stomiidae","Aristostomias","Aristostomias scintillans"
"118","Macropinna microstoma","species","Chordata","Actinopteri","Teleostei","Argentiniformes","Opisthoproctidae","Macropinna","Macropinna microstoma"
"119","Syngnathus leptorhynchus","species","Chordata","Actinopteri","Teleostei","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus leptorhynchus"
"120","Bathylagus pacificus","species","Chordata","Actinopteri","Teleostei","Argentiniformes","Bathylagidae","Bathylagus","Bathylagus pacificus"
"121","Poromitra crassiceps","species","Chordata","Actinopteri","Teleostei","Beryciformes","Melamphaidae","Poromitra","Poromitra crassiceps"
"122","Thaleichthys pacificus","species","Chordata","Actinopteri","Teleostei","Osmeriformes","Osmeridae","Thaleichthys","Thaleichthys pacificus"
"123","Alepocephalus tenebrosus","species","Chordata","Actinopteri","Teleostei","Alepocephaliformes","Alepocephalidae","Alepocephalus","Alepocephalus tenebrosus"
"124","Careproctus furcellus","species","Chordata","Actinopteri","Teleostei","Perciformes","Liparidae","Careproctus","Careproctus furcellus"
"125","Sebastes paucispinis","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes paucispinis"
"126","Bathyagonus alascanus","species","Chordata","Actinopteri","Teleostei","Perciformes","Agonidae","Bathyagonus","Bathyagonus alascanus"
"127","Psychrolutes phrictus","species","Chordata","Actinopteri","Teleostei","Perciformes","Psychrolutidae","Psychrolutes","Psychrolutes phrictus"
"128","Agonidae","family","Chordata","Actinopteri","Teleostei","Perciformes","Agonidae",NA,NA
"129","Salmo salar","species","Chordata","Actinopteri","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo salar"
"130","Brachyistius frenatus","species","Chordata","Actinopteri","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Brachyistius","Brachyistius frenatus"
"131","Synchirus gilli","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Synchirus","Synchirus gilli"
"132","Jordania zonope","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Jordania","Jordania zonope"
"133","Rhinogobiops nicholsii","species","Chordata","Actinopteri","Teleostei","Gobiiformes","Gobiidae","Rhinogobiops","Rhinogobiops nicholsii"
"134","Sebastes emphaeus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes emphaeus"
"135","Rhamphocottus richardsonii","species","Chordata","Actinopteri","Teleostei","Perciformes","Rhamphocottidae","Rhamphocottus","Rhamphocottus richardsonii"
"136","Asemichthys taylori","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Asemichthys","Asemichthys taylori"
"137","Beringraja rhina","species","Chordata","Elasmobranchii","Neoselachii","Rajiformes","Rajidae","Beringraja","Beringraja rhina"
"138","Artedius","genus","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Artedius",NA
"139","Hexagrammos stelleri","species","Chordata","Actinopteri","Teleostei","Perciformes","Hexagrammidae","Hexagrammos","Hexagrammos stelleri"
"140","Citharichthys stigmaeus","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys stigmaeus"
"141","Pholis","genus","Chordata","Actinopteri","Teleostei","Perciformes","Pholidae","Pholis",NA
"142","Anarrhichthys ocellatus","species","Chordata","Actinopteri","Teleostei","Perciformes","Anarhichadidae","Anarrhichthys","Anarrhichthys ocellatus"
"143","Chitonotus pugetensis","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Chitonotus","Chitonotus pugetensis"
"144","Brosmophycis marginata","species","Chordata","Actinopteri","Teleostei","Ophidiiformes","Bythitidae","Brosmophycis","Brosmophycis marginata"
"145","Nautichthys oculofasciatus","species","Chordata",NA,NA,"Scorpaeniformes","Hemitripteridae","Nautichthys","Nautichthys oculofasciatus"
"146","Triglops macellus","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Triglops","Triglops macellus"
"147","Gasterosteus aculeatus","species","Chordata","Actinopteri","Teleostei","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus"
"148","Psychrolutes sigalutes","species","Chordata","Actinopteri","Teleostei","Perciformes","Psychrolutidae","Psychrolutes","Psychrolutes sigalutes"
"149","Oncorhynchus keta","species","Chordata","Actinopteri","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus keta"
"150","Ptilichthys goodei","species","Chordata","Actinopteri","Teleostei","Perciformes","Ptilichthyidae","Ptilichthys","Ptilichthys goodei"
"151","Agonopsis vulsa","species","Chordata","Actinopteri","Teleostei","Perciformes","Agonidae","Agonopsis","Agonopsis vulsa"
"152","Oncorhynchus","genus","Chordata","Actinopteri","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus",NA
"153","Anoplarchus","genus","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Anoplarchus",NA
"154","Podothecus accipenserinus","species","Chordata","Actinopteri","Teleostei","Perciformes","Agonidae","Podothecus","Podothecus accipenserinus"
"155","Liparis dennyi","species","Chordata","Actinopteri","Teleostei","Perciformes","Liparidae","Liparis","Liparis dennyi"
"156","Xiphister mucosus","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Xiphister","Xiphister mucosus"
"157","Trachipterus altivelis","species","Chordata","Actinopteri","Teleostei","Lampriformes","Trachipteridae","Trachipterus","Trachipterus altivelis"
"158","Clevelandia ios","species","Chordata","Actinopteri","Teleostei","Gobiiformes","Gobiidae","Clevelandia","Clevelandia ios"
"159","Oncorhynchus kisutch","species","Chordata","Actinopteri","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch"
"160","Oncorhynchus gorbuscha","species","Chordata","Actinopteri","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha"
"161","Liparis fucensis","species","Chordata","Actinopteri","Teleostei","Perciformes","Liparidae","Liparis","Liparis fucensis"
"162","Cetorhinus maximus","species","Chordata","Elasmobranchii","Neoselachii","Lamniformes","Cetorhinidae","Cetorhinus","Cetorhinus maximus"
"163","Bathyraja","genus","Chordata","Elasmobranchii","Neoselachii","Rajiformes","Arhynchobatidae","Bathyraja",NA
"164","Oncorhynchus mykiss","species","Chordata","Actinopteri","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"165","Cyprinus carpio","species","Chordata","Actinopteri","Teleostei","Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio"
"166","Lepomis gibbosus","species","Chordata","Actinopteri","Teleostei","Centrarchiformes","Centrarchidae","Lepomis","Lepomis gibbosus"
"167","Syngnathus californiensis","species","Chordata","Actinopteri","Teleostei","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus californiensis"
"168","Phanerodon","genus","Chordata","Actinopteri","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Phanerodon",NA
"169","Amphistichus rhodoterus","species","Chordata","Actinopteri","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Amphistichus","Amphistichus rhodoterus"
"170","Mylocheilus caurinus","species","Chordata","Actinopteri","Teleostei","Cypriniformes","Cyprinidae","Mylocheilus","Mylocheilus caurinus"
"171","Dasycottus setiger","species","Chordata","Actinopteri","Teleostei","Perciformes","Psychrolutidae","Dasycottus","Dasycottus setiger"
"172","Anoplarchus insignis","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Anoplarchus","Anoplarchus insignis"
"173","Ammodytes tobianus","species","Chordata","Actinopteri","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes tobianus"
"174","Liparis florae","species","Chordata","Actinopteri","Teleostei","Perciformes","Liparidae","Liparis","Liparis florae"
"175","Radulinus asprellus","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Radulinus","Radulinus asprellus"
"176","Xiphister atropurpureus","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Xiphister","Xiphister atropurpureus"
"177","Oligocottus snyderi","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Oligocottus","Oligocottus snyderi"
"178","Clinocottus globiceps","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Clinocottus","Clinocottus globiceps"
"179","Eumicrotremus orbis","species","Chordata","Actinopteri","Teleostei","Perciformes","Cyclopteridae","Eumicrotremus","Eumicrotremus orbis"
"180","Perca flavescens","species","Chordata","Actinopteri","Teleostei","Perciformes","Percidae","Perca","Perca flavescens"
"181","Triglops pingelii","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Triglops","Triglops pingelii"
"182","Icichthys lockingtoni","species","Chordata","Actinopteri","Teleostei","Scombriformes","Centrolophidae","Icichthys","Icichthys lockingtoni"
"183","Blepsias cirrhosus","species","Chordata",NA,NA,"Scorpaeniformes","Hemitripteridae","Blepsias","Blepsias cirrhosus"
"184","Lumpenus","genus","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Lumpenus",NA
"185","Psychrolutes paradoxus","species","Chordata","Actinopteri","Teleostei","Perciformes","Psychrolutidae","Psychrolutes","Psychrolutes paradoxus"
"186","Ascelichthys rhodorus","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Ascelichthys","Ascelichthys rhodorus"
"187","Hyperprosopon ellipticum","species","Chordata","Actinopteri","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Hyperprosopon","Hyperprosopon ellipticum"
"188","Polypera greeni","species","Chordata","Actinopteri","Teleostei","Perciformes","Liparidae","Polypera","Polypera greeni"
"189","Sebastes jordani","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes jordani"
"190","Plectobranchus evides","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Plectobranchus","Plectobranchus evides"
"191","Misgurnus anguillicaudatus","species","Chordata","Actinopteri","Teleostei","Cypriniformes","Cobitidae","Misgurnus","Misgurnus anguillicaudatus"
"192","Chilara taylori","species","Chordata","Actinopteri","Teleostei","Ophidiiformes","Ophidiidae","Chilara","Chilara taylori"
"193","Clinocottus acuticeps","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Clinocottus","Clinocottus acuticeps"
"194","Sebastes miniatus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes miniatus"
"195","Carassius auratus","species","Chordata","Actinopteri","Teleostei","Cypriniformes","Cyprinidae","Carassius","Carassius auratus"
"196","Cottus aleuticus","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Cottus","Cottus aleuticus"
"197","Hexagrammos","genus","Chordata","Actinopteri","Teleostei","Perciformes","Hexagrammidae","Hexagrammos",NA
"198","Ammodytes hexapterus","species","Chordata","Actinopteri","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus"
"199","Acipenser transmontanus","species","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser transmontanus"
"200","Prionace glauca","species","Chordata","Elasmobranchii","Neoselachii","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca"
"201","Psettichthys melanostictus","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Pleuronectidae","Psettichthys","Psettichthys melanostictus"
"202","Hemitripterus bolini","species","Chordata",NA,NA,"Scorpaeniformes","Hemitripteridae","Hemitripterus","Hemitripterus bolini"
"203","Hypomesus pretiosus","species","Chordata","Actinopteri","Teleostei","Osmeriformes","Osmeridae","Hypomesus","Hypomesus pretiosus"
"204","Eptatretus stoutii","species","Chordata","Myxini",NA,"Myxiniformes","Myxinidae","Eptatretus","Eptatretus stoutii"
"205","Bathyraja aleutica","species","Chordata","Elasmobranchii","Neoselachii","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja aleutica"
"206","Lycodapus pachysoma","species","Chordata","Actinopteri","Teleostei","Perciformes","Zoarcidae","Lycodapus","Lycodapus pachysoma"
"207","Cololabis saira","species","Chordata","Actinopteri","Teleostei","Beloniformes","Scomberesocidae","Cololabis","Cololabis saira"
"208","Cryptacanthodes giganteus","species","Chordata","Actinopteri","Teleostei","Perciformes","Cryptacanthodidae","Cryptacanthodes","Cryptacanthodes giganteus"
