"","species","hakai2020","hart","hakaiseine","hakaisample","terrestrial_only","freshwater_only","worms_sciname","class","order","family","genus","status","unacceptreason","is_synonym","worms_aphiaid","bold_id","gbif_key","ott_id"
"110","Bathylagus pacificus",0,1,0,0,"0","0","Bathylagus pacificus","Actinopteri","Argentiniformes","Bathylagidae","Bathylagus","accepted",NA,FALSE,272919,91472,2410970,580257
"111","Bathymaster signatus",0,1,0,0,"0","0","Bathymaster signatus","Actinopteri","Perciformes","Bathymasteridae","Bathymaster","accepted",NA,FALSE,254513,101098,2394455,300553
"112","Benthalbella dentata",0,1,0,0,"0","0","Benthalbella dentata","Actinopteri","Aulopiformes","Scopelarchidae","Benthalbella","accepted",NA,FALSE,254572,33980,2401437,1095245
"113","Benthodesmus simonyi",0,1,0,0,"0","0","Benthodesmus simonyi","Actinopteri","Scombriformes","Trichiuridae","Benthodesmus","accepted",NA,FALSE,127087,71685,2389330,429021
"114","Blepsias bilobus",0,1,0,0,"0","0","Blepsias bilobus",NA,"Scorpaeniformes","Hemitripteridae","Blepsias","accepted",NA,FALSE,254540,110737,2335099,966549
"115","Bothragonus swani",0,1,0,0,"0","0","Bothragonus swanii","Actinopteri","Perciformes","Agonidae","Bothragonus","unaccepted","misspelling",TRUE,279947,NA,2337160,989012
"116","Brama japonica",0,1,0,0,"0","0","Brama japonica","Actinopteri","Scombriformes","Bramidae","Brama","accepted",NA,FALSE,273148,34007,5208088,679809
"117","Brosmophycis marginata",0,1,0,0,"0","0","Brosmophycis marginata","Actinopteri","Ophidiiformes","Bythitidae","Brosmophycis","accepted",NA,FALSE,280000,79413,2346159,941257
"118","Bryozoichthys marjorius",0,1,0,0,"0","0","Bryozoichthys marjorius","Actinopteri","Perciformes","Stichaeidae","Bryozoichthys","accepted",NA,FALSE,254575,NA,2394866,3639932
"119","Carcharodon carcharias",0,1,0,0,"0","0","Carcharodon carcharias","Elasmobranchii","Lamniformes","Lamnidae","Carcharodon","accepted",NA,FALSE,105838,16843,2420694,554297
"120","Careproctus ovigerum",0,1,0,0,"0","0","Careproctus ovigerus","Actinopteri","Perciformes","Liparidae","Careproctus","unaccepted","misspelling",TRUE,274454,NA,2336154,3631910
"121","Caristius macropus",0,1,0,0,"0","0","Caristius macropus","Actinopteri","Scombriformes","Caristiidae","Caristius","accepted",NA,FALSE,126824,125643,2392038,224117
"122","Caulolatilus princeps",0,1,0,0,"0","0","Caulolatilus princeps","Actinopteri","Eupercaria incertae sedis","Malacanthidae","Caulolatilus","accepted",NA,FALSE,276217,125471,2389841,694750
"123","Ceratoscopelus townsendi",0,1,0,0,"0","0","Ceratoscopelus townsendi","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus","accepted",NA,FALSE,272656,125476,2406036,462626
"124","Cetorhinus maximus",0,1,0,0,"0","0","Cetorhinus maximus","Elasmobranchii","Lamniformes","Cetorhinidae","Cetorhinus","accepted",NA,FALSE,105837,92314,2420726,73671
"125","Chaenophryne parviconus",0,1,0,0,"0","0","Chaenophryne draco","Actinopteri","Lophiiformes","Oneirodidae","Chaenophryne","unaccepted",NA,TRUE,126559,NA,2414733,45806
"126","Chauliodus macouni",0,1,0,0,"0","0","Chauliodus macouni","Actinopteri","Stomiiformes","Stomiidae","Chauliodus","accepted",NA,FALSE,275055,33959,5203199,76509
"127","Chirolophis nugator",0,1,0,0,"0","0","Chirolophis nugator","Actinopteri","Perciformes","Stichaeidae","Chirolophis","accepted",NA,FALSE,254577,125612,2394956,568686
"128","Clinocottus embryum",0,1,0,0,"0","0","Clinocottus embryum","Actinopteri","Perciformes","Cottidae","Clinocottus","accepted",NA,FALSE,280220,125647,2333877,212222
"129","Clinocottus globiceps",0,1,0,0,"0","0","Clinocottus globiceps","Actinopteri","Perciformes","Cottidae","Clinocottus","accepted",NA,FALSE,280221,125648,2333870,212225
"130","Clupea harengus pallasi",0,1,0,0,"0","0","Clupea pallasii pallasii","Actinopteri","Clupeiformes","Clupeidae","Clupea","unaccepted",NA,TRUE,293568,NA,6166071,421318
"131","Cololabis saira",0,1,1,0,"0","0","Cololabis saira","Actinopteri","Beloniformes","Scomberesocidae","Cololabis","accepted",NA,FALSE,280366,30380,2369261,427511
"132","Cyclothone microdon",0,1,0,0,"0","0","Cyclothone microdon","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","accepted",NA,FALSE,127286,59442,2347448,127390
"133","Cynoscion nobilis",0,1,0,0,"0","0","Atractoscion nobilis","Actinopteri","Eupercaria incertae sedis","Sciaenidae","Cynoscion","unaccepted",NA,TRUE,278535,NA,2400364,720790
"134","Cyprinus carpio",0,1,0,0,"0","0","Cyprinus carpio","Actinopteri","Cypriniformes","Cyprinidae","Cyprinus","accepted",NA,FALSE,154582,27257,4286975,429083
"135","Dasycottus setiger",0,1,0,0,"0","0","Dasycottus setiger","Actinopteri","Perciformes","Psychrolutidae","Dasycottus","accepted",NA,FALSE,280488,101082,2334926,1098794
"136","Delolepis gigantea",0,1,0,0,"0","0","Cryptacanthodes giganteus","Actinopteri","Perciformes","Cryptacanthodidae","Delolepis","unaccepted",NA,TRUE,276392,NA,2387410,317654
"137","Diaphus theta",0,1,0,0,"0","0","Diaphus theta","Actinopteri","Myctophiformes","Myctophidae","Diaphus","accepted",NA,FALSE,272694,34004,2406199,169217
"138","Engraulis mordax mordax",0,1,0,0,"0","0","Engraulis mordax","Actinopteri","Clupeiformes","Engraulidae","Engraulis","unaccepted",NA,TRUE,272286,NA,6166023,29754
"139","Erilepis zonifer",0,1,0,0,"0","0","Erilepis zonifer","Actinopteri","Perciformes","Anoplopomatidae","Erilepis","accepted",NA,FALSE,280700,708140,2335057,3632609
"140","Eumicrotremus orbis",0,1,0,0,"0","0","Eumicrotremus orbis","Actinopteri","Perciformes","Cyclopteridae","Eumicrotremus","accepted",NA,FALSE,254535,140428,2336849,568675
"141","Euthynnus pelamis",0,1,0,0,"0","0","Katsuwonus pelamis","Actinopteri","Scombriformes","Scombridae","Euthynnus","unaccepted","Subsequent combination",TRUE,127018,NA,5208585,308754
"142","Galeorhinus zyopterus",0,1,0,0,"0","0","Galeorhinus galeus","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus","unaccepted","synonym",TRUE,105820,NA,2418272,898984
"143","Genyonemus lineatus",0,1,0,0,"0","0","Genyonemus lineatus","Actinopteri","Eupercaria incertae sedis","Sciaenidae","Genyonemus","accepted",NA,FALSE,280830,125526,2399573,1027240
"144","Gibbonsia montereyensis",0,1,1,0,"0","0","Gibbonsia montereyensis","Actinopteri","Blenniiformes","Clinidae","Gibbonsia","accepted",NA,FALSE,280836,125652,5209308,257314
"145","Gilbertidia sigalutes",0,1,0,0,"0","0","Psychrolutes sigalutes","Actinopteri","Perciformes","Psychrolutidae","Gilbertidia","unaccepted",NA,TRUE,274679,NA,2334916,1055087
"146","Hemilepidotus spinosus",0,1,0,0,"0","0","Hemilepidotus spinosus","Actinopteri","Perciformes","Cottidae","Hemilepidotus","accepted",NA,FALSE,279413,125615,2333952,525448
"147","Hemitripterus bolini",0,1,0,0,"0","0","Hemitripterus bolini",NA,"Scorpaeniformes","Hemitripteridae","Hemitripterus","accepted",NA,FALSE,254541,140829,2335114,5342917
"148","Hexagrammos octogrammus",0,1,0,0,"0","0","Hexagrammos octogrammus","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos","accepted",NA,FALSE,254544,110864,2336486,185862
"149","Hexanchus griseus",0,1,0,0,"0","0","Hexanchus griseus","Elasmobranchii","Hexanchiformes","Hexanchidae","Hexanchus","accepted",NA,FALSE,105833,76504,2420569,435193
"150","Hyperprosopon argenteum",0,1,0,0,"0","0","Hyperprosopon argenteum","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","Hyperprosopon","accepted",NA,FALSE,281098,483226,2389297,550248
"151","Hyperprosopon ellipticum",0,1,0,0,"0","0","Hyperprosopon ellipticum","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","Hyperprosopon","accepted",NA,FALSE,281099,NA,2389301,30104
"152","Hypomesus pretiosus pretiosus",0,1,0,0,"0","0","Hypomesus pretiosus","Actinopteri","Osmeriformes","Osmeridae","Hypomesus","unaccepted",NA,TRUE,279422,NA,6169857,227596
"153","Hypsagonus quadricornis",0,1,0,0,"0","0","Hypsagonus quadricornis","Actinopteri","Perciformes","Agonidae","Hypsagonus","accepted",NA,FALSE,254508,101093,2337164,880655
"154","Icelinus borealis",0,1,0,0,"0","0","Icelinus borealis","Actinopteri","Perciformes","Cottidae","Icelinus","accepted",NA,FALSE,281133,101081,2334359,1095234
"155","Icelinus burchami",0,1,0,0,"0","0","Icelinus burchami","Actinopteri","Perciformes","Cottidae","Icelinus","accepted",NA,FALSE,281134,33923,2334351,1073698
"156","Icelinus filamentosus",0,1,0,0,"0","0","Icelinus filamentosus","Actinopteri","Perciformes","Cottidae","Icelinus","accepted",NA,FALSE,281136,20499,2334357,355893
"157","Icelinus oculatus",0,1,0,0,"0","0","Icelinus oculatus","Actinopteri","Perciformes","Cottidae","Icelinus","accepted",NA,FALSE,281139,76458,2334350,1073701
"158","Icelinus tenuis",0,1,0,0,"0","0","Icelinus tenuis","Actinopteri","Perciformes","Cottidae","Icelinus","accepted",NA,FALSE,281142,125620,2334355,568683
"159","Icelus spiniger",0,1,0,0,"0","0","Icelus spiniger","Actinopteri","Perciformes","Cottidae","Icelus","accepted",NA,FALSE,254525,99722,5201198,7529
"160","Icichthys lockingtoni",0,1,0,0,"0","0","Icichthys lockingtoni","Actinopteri","Scombriformes","Centrolophidae","Icichthys","accepted",NA,FALSE,279354,59165,2398046,76501
"161","Icosteus aenigmaticus",0,1,0,0,"0","0","Icosteus aenigmaticus","Actinopteri","Scombriformes","Icosteidae","Icosteus","accepted",NA,FALSE,281153,125452,2394445,408396
"162","Jordania zonope",0,1,1,0,"0","0","Jordania zonope","Actinopteri","Perciformes","Cottidae","Jordania","accepted",NA,FALSE,398459,971756,2333884,355891
