species,value
Mormyrus caballus,1676922
Mormyrus hasselquistii,1003159
Mormyrus kannume,1692312
Mormyrus macrophthalmus,1027351
Mormyrus ovis,112155
Mormyrus rume,91731
Mormyrus subundulatus,91735
Mormyrus tapirus,1027352
Morone americana,46260
Morone chrysops x Morone saxatilis,45352
Morone chrysops,46259
Morone mississippiensis,46261
Morone saxatilis x Morone chrysops,1885027
Morone saxatilis,34816
Moxostoma albidum,533322
Moxostoma anisurum,154817
Moxostoma ariommum,154822
Moxostoma austrinum,196781
Moxostoma breviceps,137061
Moxostoma carinatum,154820
Moxostoma cervinum,154823
Moxostoma collapsum,196767
Moxostoma congestum,418132
Moxostoma duquesnii,196921
Moxostoma erythrurum,196769
Moxostoma hubbsi,210640
Moxostoma lachneri,196797
Moxostoma macrolepidotum,196770
Moxostoma mascotae,196801
Moxostoma pappillosum,196774
Moxostoma pisolabrum,196775
Moxostoma poecilurum,154821
Moxostoma robustum,117935
Moxostoma rupiscartes,196802
Moxostoma valenciennesi,196778
Mugil ashanteensis,1030402
Mugil bananensis,693643
Mugil brevirostris,2712891
Mugil capurrii,693644
Mugil cephalus,48193
Mugil curema,48194
Mugil curvidens,1616667
Mugil gyrans,482914
Mugil hospes,426482
Mugil incilis,426483
Mugil liza,426484
Mugil metzelaari,1030403
Mugil platanus,299644
Mugil rubrioculus,1111466
Mugil soiuy,446808
Mugil thoburni,1229150
Mugil trichodon,700652
Mugilogobius abei,88200
Mugilogobius adeia,1567440
Mugilogobius cavifrons,1302782
Mugilogobius chulae,88201
Mugilogobius fontinalis,1529051
Mugilogobius hitam,1567442
Mugilogobius latifrons,1567443
Mugilogobius lepidotus,1567444
Mugilogobius mertoni,1302783
Mugilogobius myxodermus,1243175
Mugilogobius parvus,88202
Mugilogobius platynotus,1527649
Mugilogobius rexi,1567445
Mugilogobius rivulus,186836
Mugilogobius sarasinorum,1567446
Mugilogobius tigrinus,1480108
Mugilogobius wilsoni,1365567
Mulloidichthys auriflamma,455451
Mulloidichthys ayliffe,1414476
Mulloidichthys dentatus,1368618
Mulloidichthys flavolineatus,652446
Mulloidichthys martinicus,721936
Mulloidichthys mimicus,1368620
Mulloidichthys pfluegeri,1017371
Mulloidichthys vanicolensis,342443
Mullus argentinae,749194
Mullus auratus,1286129
Mullus barbatus,37007
Mullus surmuletus,87757
Muraena argus,875778
Muraena augusti,320334
Muraena helena,46662
Muraena lentiginosa,1232744
Muraena melanotis,320333
Muraena retifera,1412988
Muraena robusta,320335
Muraenesox bagio,118162
Muraenesox cinereus,7946
Muraenichthys gymnopterus,913736
Muraenichthys hattae,2801318
Muraenichthys schultzei,2012928
Muraenichthys sibogae,2042710
Muraenoclinus dorsalis,879877
Muraenolepis evseenkoi,2799584
Muraenolepis marmorata,487677
Muraenolepis microps,630682
Muraenolepis orangiensis,630683
Mustelus albipinnis,1127689
Mustelus antarcticus,7813
Mustelus asterias,112232
Mustelus californicus,320419
Mustelus canis,7812
Mustelus griseus,89020
Mustelus henlei,376658
Mustelus higmani,1777961
Mustelus intermedius,376660
Mustelus lenticulatus,335034
Mustelus lunulatus,689952
Mustelus manazo,79736
Mustelus mento,1324628
Mustelus mosis,376659
Mustelus mustelus,112230
Mustelus norrisi,303944
Mustelus palumbes,1003758
Mustelus punctulatus,112233
Mustelus ravidus,1213695
Mustelus schmitti,376657
Mustelus sinusmexicanus,1053754
Mustelus stevensi,1208715
Mustelus whitneyi,2804334
Mustelus widodoi,1208716
Myaka myaka,296566
Mycteroperca acutirostris,327803
Mycteroperca bonaci,153621
Mycteroperca fusca,327806
Mycteroperca interstitialis,327941
Mycteroperca jordani,160729
Mycteroperca marginata,989309
Mycteroperca microlepis,103820
Mycteroperca olfax,161132
Mycteroperca phenax,160730
Mycteroperca prionura,327797
Mycteroperca rosacea,160731
Mycteroperca rubra,327800
Mycteroperca tigris,327785
Mycteroperca venenosa,160736
Mycteroperca xenarcha,320403
Myctophum affine,143322
Myctophum asperum,152771
Myctophum aurolaternatum,740701
Myctophum brachygnathum,1519985
Myctophum lychnobium,740702
Myctophum nitidulum,123340
Myctophum obtusirostre,1519986
Myctophum orientale,1069387
Myctophum phengodes,1519987
Myctophum punctatum,114866
Myctophum selenops,1519988
Myctophum spinosum,990610
Myersglanis blythii,400085
Myersina filifer,376888
Myersina macrostoma,2057061
Myersina nigrivirgata,2608446
Mylesinus paraschomburgkii,42544
Mylesinus paucisquamatus,138551
Mylesinus schomburgkii,304060
Myleus arnoldi,443200
Myleus micans,1053578
Myleus rhomboidalis,443191
Myleus schomburgkii,42547
Myleus setiger,443211
Myleus ternetzi,138552
Myleus tiete,42548
Myliobatis aquila,990611
Myliobatis australis,334989
Myliobatis californica,319543
Myliobatis chilensis,1804732
Myliobatis freminvillei,1072479
Myliobatis goodei,458585
Myliobatis longirostris,86358
Myliobatis peruvianus,1804733
Myliobatis ridens,1144256
Myliobatis tenuicaudatus,2578303
Myliobatis tobijei,55138
Mylocheilus caurinus,86918
Mylochromis anaphyrmus,165734
Mylochromis epichorialis,1298775
Mylochromis incola,796757
Mylochromis lateristriga,120215
Mylochromis mola,445511
Mylopharodon conocephalus,183510
Mylopharyngodon piceus,75356
Myloplus asterias,42549
Myloplus levis,2218678
Myloplus lobatus,2218679
Myloplus lucienae,2218680
Myloplus nigrolineatus,2731273
Myloplus planquettei,443198
Myloplus rubripinnis,42550
Myloplus zorroi,2218681
Mylossoma albiscopum,2283124
Mylossoma aureum,42524
Mylossoma duriventre,304051
Mylossoma paraguayensis,42523
Myoglanis koepcke,2812817
Myoglanis koepckei,2821899
Myoglanis potaroensis,2821900
Myomyrus macrodon,2303996
Myomyrus macrops,112156
Myomyrus pharao,89591
Myopsaron nelsoni,1633520
Myoxocephalus aenaeas,8096
Myoxocephalus brandtii,476918
Myoxocephalus jaok,980339
Myoxocephalus ochotensis,998431
Myoxocephalus octodecemspinosus,68557
Myoxocephalus polyacanthocephalus,238839
Myoxocephalus quadricornis,200680
Myoxocephalus scorpioides,1911260
Myoxocephalus scorpius,8097
Myoxocephalus stelleri,239743
Myoxocephalus thompsonii,304292
Myrichthys breviceps,182435
Myrichthys colubrinus,1156119
Myrichthys maculosus,391189
Myrichthys magnificus,398651
Myrichthys ocellatus,721872
Myripristis adusta,586832
Myripristis amaena,753638
Myripristis berndti,47700
Myripristis botche,207618
Myripristis chryseres,1003759
Myripristis earlei,2589310
Myripristis greenfieldi,1522387
Myripristis hexagona,1146976
Myripristis jacobus,371672
Myripristis kochiensis,1604582
Myripristis kuntee,88698
Myripristis leiognathus,1223605
Myripristis murdjan,586833
Myripristis pralinia,753646
Myripristis randalli,1223606
Myripristis tiki,2580391
Myripristis violacea,47701
Myripristis vittata,1003760
Myripristis xanthacra,2301323
Myroconger compressus,556240
Myrophis microchir,1368085
Myrophis platyrhynchus,182419
Myrophis punctatus,182420
Myrophis vafer,319944
Mystacoleucus atridorsalis,1093605
Mystacoleucus chilopterus,192371
Mystacoleucus ectypus,1336025
Mystacoleucus lepturus,192372
Mystacoleucus marginatus,193150
Mystacoleucus padangensis,582603
Mystus albolineatus,1455660
Mystus armatus,1554486
Mystus atrifasciatus,1142161
Mystus bleekeri,210630
Mystus bocourti,337540
Mystus carcio,1867355
Mystus cavasius,205132
Mystus cineraceus,1904419
Mystus dibrugarensis,1455661
Mystus gulio,568893
Mystus horai,557285
Mystus malabaricus,205133
Mystus micracanthus,337635
Mystus montanus,882787
Mystus multiradiatus,1080458
Mystus mysticetus,1080459
Mystus ngasep,1329894
Mystus nigriceps,1821169
Mystus oculatus,402710
Mystus pelusius,1483071
Mystus prabini,2291964
Mystus pulcher,337721
Mystus rhegma,1080460
Mystus rufescens,1329896
Mystus singaringan,1001831
Mystus tengara,402707
Mystus vittatus,337539
Mystus wolffii,1080461
Myxiops aphos,930356
Myxocyprinus asiaticus,70543
Myxodagnus opercularis,57826
Myxodes cristatus,2593124
Myxodes viridis,57828
Myxus elongatus,1111467
Myzopsetta ferruginea,8258
Myzopsetta proboscidea,641108
Myzopsetta punctatissima,1357979
Nandopsis haitiensis,318677
Nandopsis ramsdeni,303186
Nandopsis tetracanthus,329337
Nandus marmoratus,1326874
Nandus nandus,248996
Nandus nebulosus,248997
Nandus oxyrhynchus,248998
Nangra assamensis,385301
Nangra bucculenta,2593177
Nangra nangra,400077
Nannacara adoketa,449273
Nannacara anomala,168802
Nannacara aureocephalus ,blue__1447876
Nannacara aureocephalus,449274
Nannacara sp,_74454
Nannacara taenia,449276
Nannaethiops bleheri,1381076
Nannaethiops gracilis,1387203
Nannaethiops unitaeniatus,1381077
Nannatherina balstoni,135768
Nannobrachium achirus,473322
Nannobrachium atrum,123504
Nannobrachium bristori,1519989
Nannobrachium fernae,1519990
Nannobrachium lineatum,473324
Nannobrachium regale,91654
Nannobrachium ritteri,319541
Nannocampus pictus,1914735
Nannocharax altus,1387204
Nannocharax ansorgii,1387205
Nannocharax brevis,1387206
Nannocharax elongatus,1104207
Nannocharax fasciatus,1387207
Nannocharax hollyi,1387208
Nannocharax machadoi,2838935
Nannocharax macropterus,304068
Nannocharax maculicauda,1381015
Nannocharax minutus,2838936
Nannocharax occidentalis,1387209
Nannocharax parvus,1381016
Nannocharax procatopus,1104208
Nannocharax rubrolabiatus,1387210
Nannocharax schoutedeni,1104209
Nannocharax taenia,1381018
Nannoperca australis,135770
Nannoperca obscura,135771
Nannoperca oxleyana,135772
Nannoperca pygmaea,1527650
Nannoperca variegata,135773
Nannoperca vittata,135774
Nannopetersius ansorgii,206426
Nannopetersius lamberti,1042440
Nannopetersius mutambuei,1042441
Nannoplecostomus eleonorae,2017759
Nannoptopoma spectabile,745500
Nannosalarias nativitatis,879879
Nannostomus beckfordi,304065
Nannostomus bifasciatus,2835321
Nannostomus eques,678659
Nannostomus espei,304070
Nannostomus marginatus,2748566
Nannostomus mortenthaleri,2283125
Nannostomus sp,_42607
Nannostomus trifasciatus,2283126
Nanobagrus torquatus,531821
Nanocheirodon insignis,930358
Nanochromis consortus,1069588
Nanochromis dimidiatus,1543254
Nanochromis minor,1069589
Nanochromis nudiceps,1069590
Nanochromis parilus,219373
Nanochromis splendens,1069592
Nanochromis teugelsi,1069593
Nanochromis transvestitus,1069594
Nanochromis wickleri,1069595
Nansenia antarctica,443705
Nansenia ardesiaca,170199
Nansenia atlantica,2420060
Nansenia boreacrassicauda,1727146
Nansenia candida,557352
Nansenia groenlandica,1263172
Nansenia longicauda,700684
Nansenia sanrikuensis,1604543
Nantis indefessus,1463127
Narcetes erimelas,443644
Narcetes shonanmaruae,2051058
Narcetes stomias,492032
Narcine bancroftii,1343680
Narcine brasiliensis,307038
Narcine brevilabiata,626243
Narcine brunnea,586834
Narcine entemedor,1213697
Narcine lasti,495870
Narcine lingula,1508082
Narcine maculata,1455688
Narcine tasmaniensis,257757
Narcine timlei,195316
Narcine vermiculatus,2683279
Narcine westraliensis,495871
Narke capensis,1003762
Narke dipterygia,1175541
Narke japonica,62965
Naso annulatus,238054
Naso brachycentron,175441
Naso brevirostris,238055
Naso caeruleacauda,238056
Naso caesius,238057
Naso elegans,238058
Naso fageni,238059
Naso hexacanthus,175442
Naso lituratus,75028
Naso lopezi,238060
Naso maculatus,238061
Naso mcdadei,238062
Naso minor,238063
Naso reticulatus,238064
Naso tergus,1642123
Naso thynnoides,238065
Naso tonganus,238066
Naso tuberosus,175443
Naso unicornis,175444
Naso vlamingii,238067
Nasolamia velox,671162
Natalichthys sam,1003964
Naucrates ductor,875791
Nautichthys oculofasciatus,428032
Nautichthys pribilovius,274772
Nautichthys robustus,557353
Navigobius vittatus,1836939
Nealotus tripes,372800
Neamia articycla,2608447
Neamia octospina,1910793
Neblinichthys brevibracchium,1633190
Neblinichthys echinasus,1633191
Nebris microps,278764
Nebris occidentalis,666533
Nebrius ferrugineus,496405
Nectamia annularis,2067700
Nectamia bandanensis,1311466
Nectamia fusca,316345
Nectamia savayensis,316373
Nectamia similis,1647159
Nectamia viria,1647160
Nectamia zebrina,2067701
Nectoliparis pelagicus,446815
Nedystoma dayi,591330
Nedystoma novaeguineae,591323
Neenchelys buitendijki,2012929
Neenchelys mccoskeri,2012930
Neenchelys parvipectoralis,1867743
Neenchelys similis,2012931
Negaprion acutidens,263687
Negaprion brevirostris,7821
Nelusetta ayraudi,303726
Nemacheilus anguilla,1836460
Nemacheilus arenicolus,2820304
Nemacheilus argyrogaster,2820305
Nemacheilus banar,2820306
Nemacheilus binotatus,1758133
Nemacheilus chrysolaimos,1821138
Nemacheilus cleopatra,2820307
Nemacheilus denisoni,1836461
Nemacheilus fasciatus,1696866
Nemacheilus inglisi,2598696
Nemacheilus lactogeneus,2507722
Nemacheilus longipectoralis,2820308
Nemacheilus longipinnis,2690405
Nemacheilus masyai,425506
Nemacheilus monilis,2027773
Nemacheilus ornatus,743470
Nemacheilus papillos,2820309
Nemacheilus paucimaculatus,2820310
Nemacheilus pfeifferae,2690406
Nemacheilus platiceps,643348
Nemacheilus saravacensis,2820311
Nemacheilus selangoricus,2012932
Nemacheilus spiniferus,2820312
Nemacheilus tuberigum,2820313
Nemacheilus zonatus,2690408
Nemachilichthys rueppelli,209159
Nemadactylus bergi,76927
Nemadactylus douglasii,76930
Nemadactylus gayi,76928
Nemadactylus macropterus,76931
Nemadactylus sp,_77266
Nemadactylus valenciennesi,76932
Nemadoras elongatus,1312477
Nemadoras hemipeltis,238603
Nemadoras humeralis,1312478
Nemanthias carberryi,428436
Nemapteryx armiger,591305
Nemapteryx augusta,591267
Nemapteryx caelata,1190807
Nemapteryx macronotacantha,2565874
Nemapteryx nenga,591258
Nematabramis everetti,1081689
Nematabramis steindachneri,432419
Nematalosa come,1300979
Nematalosa erebi,316163
Nematalosa flyensis,1746104
Nematalosa japonica,373250
Nematalosa nasus,568884
Nematalosa vlaminghi,997025
Nemateleotris decora,586835
Nemateleotris helfrichi,2589311
Nemateleotris magnifica,150309
Nematistius pectoralis,173244
Nematobrycon lacortei,711524
Nematobrycon palmeri,272066
Nematocharax varii,2487354
Nematocharax venustus,883872
Nematogenys inermis,245786
Nematolebias catimbau,1395015
Nematolebias papilliferus,1387669
Nematolebias whitei,451745
Nemichthys acanthonotus,1649252
Nemichthys curvirostris,1232745
Nemichthys larseni,557354
Nemichthys scolopaceus,118170
Nemipterus andamanensis,2794918
Nemipterus aurora,1979806
Nemipterus balinensis,1982614
Nemipterus balinensoides,2650370
Nemipterus bathybius,450223
Nemipterus bipunctatus,1008424
Nemipterus furcosus,443706
Nemipterus gracilis,2578304
Nemipterus hexodon,443707
Nemipterus japonicus,445358
Nemipterus marginatus,119725
Nemipterus mesoprion,445359
Nemipterus nematophorus,1157335
Nemipterus nematopus,1982615
Nemipterus nemurus,1514931
Nemipterus peronii,443708
Nemipterus randalli,1426789
Nemipterus sugillatus,2797472
Nemipterus tambuloides,1982616
Nemipterus thosaporni,1484652
Nemipterus virgatus,450225
Nemipterus zysron,1141920
Nemuroglanis pauciradiatus,2821910
Neoachiropsetta milfordi,443798
Neoarius berneyi,591268
Neoarius graeffei,443677
Neoarius leptaspis,591285
Neoarius midgleyi,443678
Neoarius utarus,591289
Neobathyclupea argentea,2306609
Neobola bottegoi,857700
Neobola kinondo,2675545
Neobythites analis,990612
Neobythites australiensis,2608448
Neobythites bimaculatus,1828422
Neobythites longipes,1916764
Neobythites marginatus,2726517
Neobythites sivicola,1195462
Neobythites soelae,2578305
Neobythites steatiticus,1649253
Neobythites stelliferoides,2048749
Neobythites stigmosus,417947
Neobythites unimaculatus,1188027
Neocaristius heemstrai,2578396
Neocentropogon aeglefinus,1188038
Neocentropogon japonicus,1585610
Neocentropogon trimaculatus,2057042
Neoceratias spinifer,412630
Neochanna apoda,341643
Neochanna burrowsius,66451
Neochanna cleaveri,66454
Neochanna diversus,66455
Neochanna heleios,341642
Neochanna rekohua,341641
Neochela dadiburjori,1906143
Neochelon falcipinnis,693641
Neochromis omnicaeruleus,303542
Neochromis rufocaudalis,143528
Neocirrhites armatus,587057
Neoclinus blanchardi,57830
Neoclinus bryope,270548
Neoclinus chihiroe,1696867
Neoclinus nudus,1696868
Neoclinus okazakii,1405653
Neoclinus stephensae,2653057
Neoclinus uninotatus,2653058
Neoconger mucronatus,722442
Neocyema erythrosoma,2024705
Neocyttus helgae,206098
Neocyttus psilorhynchus,443709
Neocyttus rhomboidalis,181447
Neoditrema ransonnetii,100198
Neodontobutis hainanensis,2065827
Neoepinnula americana,499856
Neoepinnula minetomai,2768287
Neoepinnula orientalis,887132
Neoeucirrhichthys maydelli,457526
Neofundulus ornatipinnis,105022
Neofundulus paraguayensis,61827
Neoglyphidodon bonang,2590728
Neoglyphidodon carlsoni,1268088
Neoglyphidodon melas,80982
Neoglyphidodon nigroris,80983
Neoglyphidodon oxyodon,229291
Neoglyphidodon polyacanthus,161910
Neoglyphidodon thoracotaeniatus,646026
Neogobius caspius,637955
Neogobius cephalarges,320566
Neogobius fluviatilis,320562
Neogobius melanostomus,47308
Neogobius nigricans,1483072
Neogobius pallasi,670864
Neoharriotta pinnata,876124
Neoheterandria cana,364899
Neoheterandria elegans,417463
Neoheterandria tridentiger,364900
Neohomaloptera johorensis,1001941
Neolaeops microphthalmus,366890
Neolamprologus bifasciatus,449318
Neolamprologus boulengeri,329917
Neolamprologus brevis,34800
Neolamprologus brichardi,32507
Neolamprologus buescheri,329916
Neolamprologus calliurus,34801
Neolamprologus caudopunctatus,34802
Neolamprologus christyi,34803
Neolamprologus cylindricus,34804
Neolamprologus devosi,452213
Neolamprologus falcicula,449319
Neolamprologus fasciatus x Neolamprologus calliurus,420110
Neolamprologus fasciatus,272721
Neolamprologus furcifer,34805
Neolamprologus gracilis,184147
Neolamprologus hecqui,329912
Neolamprologus helianthus,184148
Neolamprologus leleupi,40189
Neolamprologus leloupi,420108
Neolamprologus longicaudatus,449320
Neolamprologus longior,34806
Neolamprologus marunguensis,184149
Neolamprologus meeli,56727
Neolamprologus modestus,272725
Neolamprologus mondabu,272723
Neolamprologus multifasciatus,420107
Neolamprologus mustax,449322
Neolamprologus niger,309899
Neolamprologus nigriventris,309900
Neolamprologus obscurus,559352
Neolamprologus olivaceous,184150
Neolamprologus pectoralis,449323
Neolamprologus petricola,272718
Neolamprologus prochilus,449324
Neolamprologus pulcher,184151
Neolamprologus savoryi,184152
Neolamprologus sexfasciatus,559353
Neolamprologus similis,278786
Neolamprologus splendens,184153
Neolamprologus tetracanthus,32508
Neolamprologus timidus,1492750
Neolamprologus toae,34808
Neolamprologus tretocephalus,40190
Neolamprologus variostigma,329914
Neolamprologus ventralis,449327
Neolamprologus walteri,863668
Neolamprologus wauthioni,420109
Neolebias ansorgii,304064
Neolebias powelli,304069
Neolebias trewavasae,1381019
Neolebias trilineatus,304071
Neolebias unifasciatus,1381020
Neolissochilus baoshanensis,1545825
Neolissochilus benasi,1336672
Neolissochilus hendersoni,1620464
Neolissochilus heterostomus,263546
Neolissochilus hexagonolepis,370357
Neolissochilus hexastichus,1206574
Neolissochilus nigrovittatus,1907132
Neolissochilus soroides,464752
Neolissochilus stracheyi,370369
Neolissochilus tamiraparaniensis,934273
Neomerinthe erostris,2768246
Neomerinthe hemingwayi,399150
Neomerinthe megalepis,1188016
Neomerinthe procurva,1609316
Neomerinthe rotunda,1003763
Neomyxus leuciscus,1111478
Neonesthes capensis,882844
Neonesthes microcephalus,2696620
Neoniphon argenteus,47704
Neoniphon aurolineatus,47705
Neoniphon marianus,1182776
Neoniphon opercularis,1223607
Neoniphon pencei,1454908
Neoniphon sammara,47706
Neoniphon vexillarium,245691
Neonoemacheilus labeosus,2690407
Neoodax balteatus,241359
Neopagetopsis ionah,70436
Neophrynichthys heterospilos,2696668
Neophrynichthys latus,2696669
Neoplecostomus bandeirante,1191141
Neoplecostomus botucatu,1191142
Neoplecostomus canastra,1532156
Neoplecostomus corumba,648978
Neoplecostomus espiritosantensis,648979
Neoplecostomus franciscoensis,714220
Neoplecostomus jaguari,1701857
Neoplecostomus langeanii,1191143
Neoplecostomus microps,510766
Neoplecostomus paranensis,245748
Neoplecostomus paraty,1941147
Neoplecostomus ribeirensis,745501
Neoplecostomus selenae,714221
Neoplecostomus yapo,648981
Neopomacentrus aktites,2489363
Neopomacentrus anabatoides,2846795
Neopomacentrus aquadulcis,2489364
Neopomacentrus azysron,80985
Neopomacentrus bankieri,1081382
Neopomacentrus cyanomos,196131
Neopomacentrus filamentosus,229126
Neopomacentrus fuliginosus,2480005
Neopomacentrus metallicus,1268089
Neopomacentrus miryae,229127
Neopomacentrus nemurus,229128
Neopomacentrus sindensis,229129
Neopomacentrus sororius,2830210
Neopomacentrus taeniurus,351695
Neopomacentrus violascens,2480006
Neopomacentrus xanthurus,2480007
Neoraja caerulea,417954
Neoraja iberica,762856
Neosalanx anderssoni,350769
Neosalanx argentea,350770
Neosalanx brevirostris,1028178
Neosalanx jordani,240826
Neosalanx oligodontis,350771
Neosalanx pseudotaihuensis,350772
Neosalanx reganius,350773
Neosalanx taihuensis,240825
Neosalanx tangkahkeii,350774
Neoscombrops annectens,1003966
Neoscombrops pacificus,1306624
Neoscopelus macrolepidotus,88701
Neoscopelus microchir,143321
Neoscopelus porosus,1519992
Neoscorpis lithophilus,490337
Neosebastes bougainvillii,1680611
Neosebastes entaxis,1609293
Neosebastes incisipinnis,334979
Neosebastes longirostris,2797473
Neosebastes multisquamus,1809193
Neosebastes nigropunctatus,2609497
Neosebastes pandus,390352
Neosebastes scorpaenoides,334944
Neosebastes thetidis,334945
Neosiluroides cooperensis,882208
Neosilurus ater,390484
Neosilurus brevidorsalis,2850002
Neosilurus gloveri,1527651
Neosilurus hyrtlii,301284
Neosilurus pseudospinosus,1476989
Neostethus bicornis,300306
Neostethus geminus,1639334
Neostethus lankesteri,1643408
Neosynchiropus morrisoni,1503334
Neosynchiropus moyeri,1147744
Neosynchiropus ocellatus,390378
Neosynchiropus stellatus,1503335
Neotrygon annotata,496062
Neotrygon australiae,2797474
Neotrygon caeruleopunctata,2212482
Neotrygon indica,2060314
Neotrygon kuhlii 1 GJPN,2012_1214719
Neotrygon kuhlii 2 GJPN,2012_1214720
Neotrygon kuhlii 3 GJPN,2012_1214721
Neotrygon kuhlii 4 GJPN,2012_1214722
Neotrygon kuhlii,651721
Neotrygon leylandi,335000
Neotrygon ningalooensis,1160815
Neotrygon orientalis,2797475
Neotrygon picta,662071
Neotrygon trigonoides,1365275
Neovespicula depressifrons,2057080
Neozoarces pulcher,641285
Neozoarces steindachneri,1494042
Nerophis lumbriciformis,546530
Nerophis maculatus,2810712
Nerophis ophidion,159077
Nes longus,203328
Nesiarchus nasutus,372798
Nesogalaxias neocaledonicus,89571
Nesogobius greeni,1776236
Nesogobius hinsbyi,1776237
Nesogobius maccullochi,1776238
Nesogobius pulchellus,1776239
Nesogobius tigrinus,1776240
Nessorhamphus danae,118160
Nessorhamphus ingolfianus,189506
Nettastoma melanurum,391214
Nettastoma parviceps,118177
Nettastoma solitarium,1405572
Netuma bilineata,591271
Netuma patriciae,2602181
Netuma thalassina,435128
Nexilosus latifrons,646047
Nezumia aequalis,303126
Nezumia bairdii,1311468
Nezumia condylura,2608449
Nezumia convergens,2048750
Nezumia duodecim,630686
Nezumia latirostrata,2048751
Nezumia liolepis,630687
Nezumia longebarbata,630688
Nezumia micronychodon,303127
Nezumia milleri,630689
Nezumia namatahi,2696621
Nezumia proxima,497150
Nezumia sclerorhynchus,1176750
Nezumia stelgidolepis,1154598
Nibea albiflora,240163
Nibea chui,410735
Nibea coibor,396775
Nibea maculata,455469
Nibea microgenys,1642193
Nibea miichthioides,341088
Nibea mitsukurii,215360
Nibea semifasciata,1789960
Nibea soldado,882788
Nibea squamosa,1642194
Nicholsina denticulata,59659
Nicholsina usta,90413
Nimbapanchax jeanpoli,694279
Nimbapanchax leucopterygius,696753
Nimbapanchax melanopterygius,696754
Nimbapanchax petersi,60406
Nimbapanchax viridis,60412
Nimbochromis fuscotaeniatus,286582
Nimbochromis linni,311526
Nimbochromis livingstonii,137275
Nimbochromis polystigma,136862
Nimbochromis venustus,137273
Ninnigobius canestrinii,257723
Ninnigobius montenegrensis,1483677
Niphon spinosus,228254
Nipponocypris koreanus,933226
Nipponocypris sieboldii,327405
Nipponocypris temminckii,1001925
Niwaella brevipinna,2053654
Niwaella delicata,118138
Niwaella fimbriata,2053655
Niwaella laterimaculata,1001985
Niwaella longibarba,2053658
Niwaella nigrolinea,2053656
Niwaella qujiangensis,2053657
Niwaella xinjiangensis,2053659
Nocomis asper,703418
Nocomis bellicus,1165844
Nocomis biguttatus,86923
Nocomis effusus,1042307
Nocomis interocularis,1165847
Nocomis leptocephalus,86916
Nocomis micropogon,181614
Nocomis platyrhynchus,1046060
Nocomis raneyi,703419
Nomeus gronovii,1003968
Nomorhamphus liemi,1850437
Nomorhamphus megarrhamphus,2065996
Nomorhamphus ravnaki,129054
Nomorhamphus vivipara,2067538
Nomorhamphus weberi,129046
Norfolkia brachylepis,2608450
Norfolkia thomasi,1647200
Normanichthys crockeri,275435
Normichthys operosus,443646
Normichthys yahganorum,1723698
Notacanthus abbotti,189507
Notacanthus bonaparte,473325
Notacanthus chemnitzii,143895
Notacanthus indicus,1723699
Notacanthus sexspinis,1003764
Notacanthus spinosus,2048752
Notarius armbrusteri,371053
Notarius biffi,419337
Notarius bonillai,243724
Notarius cookei,286640
Notarius grandicassis,287712
Notarius insculptus,287707
Notarius kessleri,287704
Notarius lentiginosus,591273
Notarius luniscutis,591274
Notarius neogranatensis,287703
Notarius planiceps,287705
Notemigonus crysoleucas,28800
Notesthes robusta,390354
Nothobranchius albimarginatus,1143687
Nothobranchius angelae,2607860
Nothobranchius annectens,2789675
Nothobranchius attenboroughi,2789667
Nothobranchius bojiensis,1548437
Nothobranchius boklundi,1548438
Nothobranchius brieni,1902346
Nothobranchius cardinalis,451735
Nothobranchius chochamandai,1902347
Nothobranchius cooperi,2064662
Nothobranchius derhami,2789676
Nothobranchius ditte,2785135
Nothobranchius eggersi,451736
Nothobranchius elongatus,484477
Nothobranchius fasciatus,1548439
Nothobranchius flagrans,1902348
Nothobranchius flammicomantis,1143688
Nothobranchius foerschi,451737
Nothobranchius furzeri,105023
Nothobranchius fuscotaeniatus,1548440
Nothobranchius geminus,2789668
Nothobranchius guentheri,451738
Nothobranchius hassoni,1548441
Nothobranchius hengstleri,508067
Nothobranchius hoermanni,2789669
Nothobranchius insularis,2789670
Nothobranchius interruptus,1143689
Nothobranchius itigiensis,2789671
Nothobranchius ivanovae,2607865
Nothobranchius janpapi,1548687
Nothobranchius jubbi,508068
Nothobranchius kadleci,1051664
Nothobranchius kafuensis,52582
Nothobranchius kardashevi,2607866
Nothobranchius kilomberoensis,451740
Nothobranchius kirki,52583
Nothobranchius korthausae,1143690
Nothobranchius krammeri,451746
Nothobranchius krysanovi,704101
Nothobranchius kuhntae,321403
Nothobranchius lourensi,1851010
Nothobranchius lucius,508069
Nothobranchius luekei,2785136
Nothobranchius makondorum,508070
Nothobranchius malaissei,1548442
Nothobranchius matanduensis,2789672
Nothobranchius melanospilus,28780
Nothobranchius microlepis,1548443
Nothobranchius milvertzi,1902349
Nothobranchius moameensis,2789673
Nothobranchius neumanni,1680600
Nothobranchius niassa,1143691
Nothobranchius nubaensis,2607867
Nothobranchius ocellatus,508071
Nothobranchius oestergaardi,1548444
Nothobranchius orthonotus,451741
Nothobranchius ottoschmidti,2607861
Nothobranchius palmqvisti,1548445
Nothobranchius patrizii,1548446
Nothobranchius pienaari,704102
Nothobranchius polli,704103
Nothobranchius rachovii,451742
Nothobranchius robustus,1548447
Nothobranchius rosenstocki,1680601
Nothobranchius rubripinnis,451749
Nothobranchius rubroreticulatus,704104
Nothobranchius rungwaensis,2607862
