species,value
Acipenser schrenckii x Huso dauricus,228914
Acipenser schrenckii,111304
Acipenser sinensis x Acipenser schrenckii,1358435
Acipenser sinensis,61970
Acipenser stellatus,7903
Acipenser sturio,61674
Acipenser transmontanus,7904
Acnodon normani,42541
Acnodon oligacanthus,446776
Acnodon senai,2218671
Acreichthys hajam,1609327
Acreichthys tomentosus,392910
Acrobrycon ipanquianus,1463111
Acrocheilus alutaceus,67537
Acrochordonichthys rugosus,337691
Acromycter nezumi,1642172
Acromycter perturbator,2726512
Acropoma argentistigma,2578241
Acropoma hanedai,390682
Acropoma japonicum,2233869
Acropoma lacrima,2863985
Acropoma lecorneti,1828430
Acrossocheilus barbodon,1382617
Acrossocheilus beijiangensis,356814
Acrossocheilus cinctus,356816
Acrossocheilus fasciatus,356809
Acrossocheilus hemispinus,356810
Acrossocheilus iridescens,643335
Acrossocheilus jishouensis,1776111
Acrossocheilus kreyenbergii,1539280
Acrossocheilus longipinnis,1776112
Acrossocheilus monticola,356813
Acrossocheilus paradoxus,76593
Acrossocheilus parallens,356812
Acrossocheilus spinifer,356815
Acrossocheilus stenotaeniatus,1544377
Acrossocheilus wenchowensis,1279364
Acrossocheilus wuyiensis,1776113
Acrossocheilus yunnanensis,75336
Acroteriobatus annulatus,2578367
Acroteriobatus variegatus,2599775
Aculeola nigra,862896
Acyrtops beryllinus,722517
Acyrtus artius,1500688
Acyrtus lanthanum,1500689
Acyrtus rubiginosus,1500690
Adelosebastes latens,1311530
Adelotremus deloachi,1962406
Adinia xenica,722643
Adontosternarchus balaenops,1740075
Adontosternarchus clarkae,597343
Adontosternarchus devenanzii,1740076
Adontosternarchus nebulosus,1740077
Adontosternarchus sachsi,1765764
Adontosternarchus sp,_36684
Adrianichthys oophorus,123688
Adrianichthys poptae,1645895
Aenigmachanna gollum,2586744
Aenigmachanna mahabali,2734617
Aeoliscus punctulatus,1003682
Aeoliscus strigatus,270546
Aequidens chimantanus,449254
Aequidens diadema,172533
Aequidens epae,2478850
Aequidens metae,242819
Aequidens michaeli,81345
Aequidens pallidus,2478851
Aequidens patricki,449256
Aequidens potaroensis,449257
Aequidens tetramerus,172531
Aequidens tubicen,449264
Aesopia cornuta,215406
Aetapcus maculatus,274722
Aethaloperca rogaa,327776
Aethotaxis mitopteryx,101500
Aetobatus flagellum,420948
Aetobatus laticeps,1213660
Aetobatus narinari,87140
Aetobatus narutobiei,1640655
Aetobatus ocellatus,1053712
Aetomylaeus bovinus,1820958
Aetomylaeus maculatus,334990
Aetomylaeus milvus,1213661
Aetomylaeus nichofii,495821
Aetomylaeus vespertilio,495822
Aetoplatea zonura,195284
Afronandus sheljuzhkoi,1679029
Afurcagobius tamarensis,376881
Agamyxis albomaculatus,238587
Agamyxis pectinifrons,238586
Ageneiogarra imberba,887870
Ageneiosus akamai,2382249
Ageneiosus dentatus,2382250
Ageneiosus inermis,642921
Ageneiosus intrusus,2661890
Ageneiosus lineatus,2662046
Ageneiosus magoi,2661891
Ageneiosus marmoratus,2066578
Ageneiosus militaris,1769426
Ageneiosus pardalis,1621551
Ageneiosus polystictus,2382251
Ageneiosus ucayalensis,238655
Ageneiosus uranophthalmus,2382252
Ageneiosus vittatus,1640863
Agoniates anchovia,930283
Agoniates halecinus,930284
Agonomalus proboscidalis,1633469
Agonopsis sterletus,740689
Agonopsis vulsa,428027
Agonostomus catalai,1111457
Agonostomus monticola,661228
Agonostomus telfairii,390298
Agonus cataphractus,508607
Agosia chrysogaster,86938
Agrostichthys parkeri,2696640
Aguarunichthys inpai,1045363
Aguarunichthys torosus,1640864
Ahlia egmontis,182417
Ahliesaurus berryi,509771
Aidablennius sphynx,195073
Ailia coila,390394
Aioliops novaeguineae,1559956
Akarotaxis nudiceps,227741
Akawaio penak,1425327
Akihito futuna,1001970
Akihito vanuatu,1001971
Akysis brachybarbatus,205336
Akysis longifilis,385284
Akysis manipurensis,1904418
Akysis prashadi,385285
Alabes dorsalis,2578242
Alabes hoesei,1930305
Alabes scotti,1930306
Albatrossia pectoralis,83392
Albula argentea,531982
Albula esuncula,1036539
Albula gilberti,1036540
Albula glossodonta,121402
Albula goreensis,1534307
Albula koreana,797391
Albula nemoptera,357873
Albula neoguinaica,141661
Albula oligolepis,981429
Albula pacifica,1038686
Albula virgata,1534309
Albula vulpes,54909
Albulichthys albuloides,643421
Alburnoides bipunctatus,58321
Alburnoides coadi,1799518
Alburnoides coskuncelebii,2613872
Alburnoides damghani,1799519
Alburnoides devolli,1482968
Alburnoides diclensis,2613880
Alburnoides economoui,2093706
Alburnoides eichwaldii,1201212
Alburnoides emineae,2613881
Alburnoides fangfangae,1482969
Alburnoides fasciatus,870488
Alburnoides freyhofi,2613873
Alburnoides gmelini,1881588
Alburnoides holciki,1799520
Alburnoides idignensis,1799521
Alburnoides kosswigi,2613874
Alburnoides kubanicus,870489
Alburnoides kurui,2044566
Alburnoides maculatus,1546180
Alburnoides manyasensis,2613875
Alburnoides namaki,1799522
Alburnoides nicolausi,1799523
Alburnoides ohridanus,101859
Alburnoides prespensis,870491
Alburnoides qanati,1799524
Alburnoides samiii,1799525
Alburnoides smyrnae,2613882
Alburnoides strymonicus,101860
Alburnoides tabarestanensis,1799526
Alburnoides taeniatus,2135938
Alburnoides thessalicus,1746192
Alburnoides velioglui,2613883
Alburnus adanensis,1704132
Alburnus albidus,317898
Alburnus alburnus,54556
Alburnus arborella,563156
Alburnus atropatenae,1978378
Alburnus attalus,1482970
Alburnus baliki,317923
Alburnus battalgilae,1482971
Alburnus belvica x Rutilus prespensis,1482336
Alburnus belvica,882966
Alburnus caeruleus,1704133
Alburnus carianorum,2202972
Alburnus carinatus,1482972
Alburnus chalcoides,155062
Alburnus demiri,1482973
Alburnus derjugini,2136309
Alburnus doriae,1978379
Alburnus escherichii,155058
Alburnus filippii,101864
Alburnus goekhani,2731303
Alburnus heckeli,1803923
Alburnus hohenackeri,155061
Alburnus istanbulensis,1245217
Alburnus kotschyi,882967
Alburnus kurui,2044627
Alburnus leobergi,2136310
Alburnus macedonicus,101861
Alburnus magnificus,2731304
Alburnus mandrensis,2135939
Alburnus mento,2044564
Alburnus mentoides,2136311
Alburnus mossulensis,155060
Alburnus nasreddini,1482974
Alburnus neretvae,742355
Alburnus oblongus,2814117
Alburnus orontis,155059
Alburnus qalilus,1482975
Alburnus sava,2202974
Alburnus schischkovi,2135940
Alburnus scoranza,742341
Alburnus sellal,1704134
Alburnus tarichi,886298
Alburnus thessalicus,870498
Alburnus timarensis,2184315
Alburnus vistonicus,1482976
Alburnus volviticus,933929
Alburnus zagrosensis,2733714
Alcichthys alcicornis,1802967
Alcichthys elongatus,1508112
Aldrichetta forsteri,443748
Aldrovandia affinis,143900
Aldrovandia oleosa,1675535
Aldrovandia phalacra,1232741
Alectis alexandrina,179358
Alectis ciliaris,179359
Alectis indica,436001
Alectrias alectrolophus,641275
Alectrias benjamini,1317003
Alectrias cirratus,1804617
Alectrias gallinus,1517458
Alepes apercna,1578040
Alepes djedaba,173327
Alepes kleinii,436002
Alepes melanoptera,1218178
Alepes vari,1218179
Alepidomus evermanni,670421
Alepisaurus brevirostris,509753
Alepisaurus ferox,88653
Alepocephalus agassizii,492023
Alepocephalus antipodianus,546509
Alepocephalus australis,492024
Alepocephalus bairdii,134618
Alepocephalus bicolor,443629
Alepocephalus longiceps,492026
Alepocephalus productus,492027
Alepocephalus rostratus,1245468
Alepocephalus tenebrosus,170189
Alepocephalus triangularis,1812862
Alepocephalus umbriceps,492028
Alertichthys blacki,2696642
Alestes baremoze,303973
Alestes bimaculatus,1042423
Alestes comptus,1042424
Alestes dentex,1003153
Alestes grandisquamis,1042425
Alestes inferus,1042429
Alestes liebrechtsii,1042430
Alestes macrophthalmus,1676863
Alestes schoutedeni,206421
Alestes sp,_42484
Alestopetersius bifasciatus,1144534
Alestopetersius brichardi,1881166
Alestopetersius caudalis,304011
Alestopetersius compressus,1042427
Alestopetersius conspectus,1144531
Alestopetersius hilgendorfi,304080
Alestopetersius nigropterus,1042428
Alestopetersius tumbensis,1042454
Alfaro cultratus,55102
Alfaro huberi,32462
Algansea amecae,681309
Algansea aphanea,681310
Algansea avia,479078
Algansea barbata,681311
Algansea lacustris,364078
Algansea monticola,681312
Algansea tincella,364079
Alionematichthys piger,2589284
Alionematichthys riukiuensis,1604647
Allenbatrachus grunniens,101189
Alloblennius pictus,1405691
Allocareproctus jordani,1696904
Allocareproctus kallaion,2598654
Allocareproctus tanix,2598655
Allocareproctus unangas,2579755
Allocareproctus ungak,2559823
Alloclinus holderi,314245
Allocyttus folletti,319752
Allocyttus niger,181445
Allocyttus verrucosus,245700
Allodontichthys hubbsi,208308
Allodontichthys polylepis,208309
Allodontichthys tamazulae,208310
Allodontichthys zonistius,208311
Allomycterus pilatus,303708
Alloophorus robustus,208313
Allosmerus elongatus,433393
Allothunnus fallai,320457
Allotoca catarinae,208315
Allotoca diazi,208316
Allotoca dugesii,208317
Allotoca goslinei,208360
Allotoca maculata,208318
Allotoca meeki,208319
Allotoca regalis,208320
Allotoca zacapuensis,208322
Alopias pelagicus,57979
Alopias superciliosus,57980
Alopias vulpinus,7852
Alosa aestivalis,224703
Alosa agone,1482977
Alosa alabamae,469658
Alosa algeriensis,1482978
Alosa alosa x Alosa fallax,944503
Alosa alosa,278164
Alosa braschnikowi,2729427
Alosa caspia,379819
Alosa chrysochloris,411573
Alosa fallax,278165
Alosa immaculata,379818
Alosa killarnensis,1084577
Alosa macedonica,379850
Alosa mediocris,469659
Alosa pseudoharengus,34774
Alosa sapidissima,34773
Alosa vistonica,1482979
Alphestes afer,246622
Alphestes immaculatus,160542
Alphestes multiguttatus,160543
Alticorpus geoffreyi,1075431
Alticorpus pectinatum,163612
Alticus anjouanae,2100430
Alticus arnoldorum,1311411
Alticus kirkii,1586388
Alticus monochrus,1892325
Alticus montanoi,2769394
Alticus orientalis,2608408
Alticus saliens,879682
Alticus simplicirrus,1892326
Altigena wui,2517877
Altigena yunnanensis,2517878
Altolamprologus calvus,34792
Altolamprologus compressiceps,34793
Altrichthys alelia,2025071
Altrichthys azurelineatus,980614
Altrichthys curatus,646037
Aluterus heudelotii,1311412
Aluterus monoceros,479862
Aluterus schoepfii,1182934
Aluterus scriptus,303710
Amanses scopas,245707
Amaralia hypsiura,385283
Amaralia oviraptor,1770172
Amarsipus carlsbergi,2042712
Amatitlania coatepeque,1537669
Amatitlania myrnae,63156
Amatitlania nanolutea,318681
Amatitlania nigrofasciata,74111
Amatitlania sajica,63160
Amatitlania septemfasciata,63161
Amatitlania siquia,1537670
Amazonspinther dalmata,1315335
Amazonsprattus scintilla,501721
Ambassis agassizii,613159
Ambassis agrammus,490243
Ambassis ambassis,1003683
Ambassis buruensis,1045541
Ambassis commersoni,1326872
Ambassis dussumieri,1003684
Ambassis elongata,1379489
Ambassis gymnocephalus,1045542
Ambassis interrupta,1070781
Ambassis jacksoniensis,498363
Ambassis macleayi,858229
Ambassis marianus,498364
Ambassis miops,941981
Ambassis muelleri,661444
Ambassis nalua,1896318
Ambassis natalensis,1003685
Ambassis productus,390300
Ambassis urotaenia,1206912
Ambassis vachellii,2202267
Ambastaia nigrolineata,1436201
Ambastaia sidthimunki,1436202
Ambiserrula jugosa,1230793
Ambloplites ariommus,270327
Ambloplites cavifrons,201692
Ambloplites constellatus,270328
Ambloplites rupestris,109273
Amblyceps apangi,385281
Amblyceps arunchalensis,1120117
Amblyceps foratum,516524
Amblyceps laticeps,1925518
Amblyceps mangois,337634
Amblyceps mucronatum,516525
Amblyceps murraystuarti,1696822
Amblyceps serratum,516526
Amblychaeturichthys hexanema,497222
Amblychaeturichthys sciistius,1043171
Amblycirrhitus bimacula,529471
Amblycirrhitus pinos,390302
Amblycirrhitus unimacula,2589285
Amblydoras affinis,337692
Amblydoras gonzalezi,909836
Amblydoras nauticus,238563
Amblydoras nheco,1312460
Amblyeleotris aurora,990552
Amblyeleotris diagonalis,1146950
Amblyeleotris downingi,2584507
Amblyeleotris fasciata,622397
Amblyeleotris fontanesii,2797440
Amblyeleotris guttata,150258
Amblyeleotris gymnocephala,622398
Amblyeleotris japonica,2608409
Amblyeleotris katherine,1156084
Amblyeleotris latifasciata,2608410
Amblyeleotris macronema,2650376
Amblyeleotris marquesas,2589286
Amblyeleotris masuii,2768278
Amblyeleotris melanocephala,2768277
Amblyeleotris ogasawarensis,2768285
Amblyeleotris periophthalma,622399
Amblyeleotris randalli,622400
Amblyeleotris rubrimarginata,2013015
Amblyeleotris steinitzi,586770
Amblyeleotris sungami,586771
Amblyeleotris wheeleri,166729
Amblyeleotris yanoi,622401
Amblygaster clupeoides,392305
Amblygaster leiogaster,1411162
Amblygaster sirm,997022
Amblyglyphidodon aureus,161766
Amblyglyphidodon batunai,1155708
Amblyglyphidodon curacao,80968
Amblyglyphidodon flavilatus,1910769
Amblyglyphidodon indicus,997964
Amblyglyphidodon leucogaster,229096
Amblyglyphidodon melanopterus,2830208
Amblyglyphidodon orbicularis,1245545
Amblyglyphidodon ternatensis,1155711
Amblygobius albimaculatus,990553
Amblygobius buanensis,2483454
Amblygobius decussatus,586772
Amblygobius nocturnus,166731
Amblygobius phalaena,166732
Amblygobius sphynx,1146951
Amblygobius stethophthalmus,2494320
Amblyopsis rosae,940464
Amblyopsis spelaea,1195602
Amblyotrypauchen arctocephalus,1979811
Amblypharyngodon chakaiensis,622366
Amblypharyngodon chulabhornae,38661
Amblypharyngodon grandisquamis,2491115
Amblypharyngodon melettinus,622367
Amblypharyngodon mola,857615
Amblypomacentrus breviceps,2830209
Amblypomacentrus clarus,646039
Amblyraja badia,369906
Amblyraja doellojuradoi,458547
Amblyraja georgiana,1051904
Amblyraja hyperborea,315322
Amblyraja jenseni,1072486
Amblyraja radiata,386614
Amblyraja taaf,491013
Amblyrhynchichthys truncatus,643417
Amblyrhynchotes honckenii,905051
Ambophthalmos angustus,2696644
Ameca splendens,208324
Ameiurus brunneus,219540
Ameiurus catus,66911
Ameiurus melas,219545
Ameiurus natalis,66912
Ameiurus nebulosus,27778
Ameiurus platycephalus,219535
Ameiurus serracanthus,219534
Amia calva,7924
Amissidens hainesi,591307
Ammocrypta beanii,255458
Ammocrypta bifascia,105256
Ammocrypta clara,77145
Ammocrypta meridiana,105257
Ammocrypta pellucida,105258
Ammocrypta vivax,105259
Ammocryptocharax elegans,1569731
Ammocryptocharax lateralis,930238
Ammodytes americanus,184215
Ammodytes dubius,1266862
Ammodytes heian,1483216
Ammodytes hexapterus,476914
Ammodytes japonicus,1483214
Ammodytes marinus,146480
Ammodytes personatus,215382
Ammodytes sp,_146078
Ammodytes tobianus,84621
Ammolabrus dicrus,2608471
Ammotretis lituratus,2578243
Ammotretis rostratus,443750
Amniataba affinis,1161367
Amniataba caudavittata,1161368
Amniataba percoides,1161369
Amoya chusanensis,1285437
Amoya gracilis,1365531
Amoya signata,1366218
Amphelikturus dendriticus,1182854
Amphiarius phrygiatus,2364636
Amphiarius rugispinis,287709
Amphichaetodon howensis,272792
Amphichaetodon melbae,466110
Amphilius atesuensis,691900
Amphilius brevidorsalis,1233644
Amphilius brevis,1499002
Amphilius chalei,1233650
Amphilius cryptobullatus,1233651
Amphilius cubangoensis,1233652
Amphilius engelbrechti,2815454
Amphilius grammatophorus,1233653
Amphilius grandis,1233654
Amphilius hargeri,1233655
Amphilius jacksonii,749487
Amphilius kakrimensis,1494489
Amphilius kivuensis,1233679
Amphilius krefftii,1233656
Amphilius lampei,1233657
Amphilius laticaudatus,1233658
Amphilius leroyi,1233659
Amphilius longirostris,1233660
Amphilius maesii,1104221
Amphilius natalensis,1233661
Amphilius nigricaudatus,1233662
Amphilius platychir,691901
Amphilius rheophilus,691902
Amphilius sp,_1867234
Amphilius uranoscopus,1233663
Amphilius zairensis,1233664
Amphilius zuluorum,2815451
Amphilophus amarillo,858711
Amphilophus calobrensis,318585
Amphilophus citrinellus,61819
Amphilophus hogaboomorum,318749
Amphilophus istlanus,407111
Amphilophus labiatus,61820
Amphilophus lyonsi,318680
Amphilophus macracanthus,64099
Amphiprion akallopisos,229067
Amphiprion akindynos,229068
Amphiprion allardi,229069
Amphiprion barberi,926443
Amphiprion bicinctus x Amphiprion omanensis,1702347
Amphiprion bicinctus,367269
Amphiprion chagosensis,367270
Amphiprion chrysogaster,229070
Amphiprion chrysopterus x Amphiprion sandaracinos,2301314
Amphiprion chrysopterus,229071
Amphiprion clarkii,80970
Amphiprion ephippium,1129554
Amphiprion frenatus,80971
Amphiprion latezonatus,367278
Amphiprion latifasciatus,586773
Amphiprion leucokranos,367274
Amphiprion mccullochi,367275
Amphiprion melanopus,229072
Amphiprion nigripes,229073
Amphiprion ocellaris x Amphiprion percula,1133050
Amphiprion ocellaris,80972
Amphiprion omanensis,229074
Amphiprion pacificus,926444
Amphiprion percula,161767
Amphiprion perideraion,80973
Amphiprion polymnus,96882
Amphiprion rubrocinctus,367277
Amphiprion sandaracinos,96883
Amphiprion sebae,229075
Amphiprion tricinctus,1450164
Amphistichus argenteus,100186
Amphistichus koelzi,1045555
Amphistichus rhodoterus,72546
Amsichthys knighti,1609616
Anabarilius andersoni,1764113
Anabarilius brevianalis,2315480
Anabarilius grahami,495550
Anabarilius liui,2171626
Anabas cobojius,1326873
Anabas testudineus,64144
Anableps anableps,195821
Anableps dowei,1517967
Anableps microlepis,1963866
Anablepsoides amphoreus,44703
Anablepsoides cearensis,2032713
Anablepsoides compressus,287870
Anablepsoides cryptocallus,44702
Anablepsoides deltaphilus,60320
Anablepsoides gamae,1671882
Anablepsoides hartii,44704
Anablepsoides igneus,1573748
Anablepsoides immaculatus,44705
Anablepsoides iridescens,105031
Anablepsoides jucundus,60324
Anablepsoides ophiomimus,60328
Anablepsoides ornatus,105032
Anablepsoides rubrolineatus,60331
Anablepsoides speciosus,2748560
Anablepsoides stagnatus,44699
Anablepsoides urophthalmus,326433
Anablepsoides waimacui,105037
Anacanthus barbatus,570931
Anadoras grypus,238569
Anadoras weddellii,1312464
Anaecypris hispanica,71183
Anaecypris punica,1482980
Anampses caeruleopunctatus,241263
Anampses chrysocephalus,1119046
Anampses cuvier,1119047
Anampses elegans,1119048
Anampses femininus,1119049
Anampses geographicus,290104
Anampses lennardi,1119050
Anampses lineatus,586774
Anampses melanurus,1119051
Anampses meleagrides,347726
Anampses neoguinaicus,241264
Anampses twistii,317474
Anarchias seychellensis,1146952
Anarchias similis,2726510
Anarchopterus criniger,1914714
Anarhichas denticulatus,425520
Anarhichas lupus,8204
Anarhichas minor,65739
Anarhichas orientalis,479980
Anarrhichthys ocellatus,433405
Ancherythroculter daovantieni,381624
Ancherythroculter kurematsui,1758748
Ancherythroculter lini,1698368
Ancherythroculter nigrocauda,263419
Ancherythroculter wangi,2108152
Anchichoerops natalensis,990927
Anchoa cayorum,1150424
Anchoa chamensis,1150425
Anchoa choerostoma,411574
Anchoa colonensis,1150426
Anchoa compressa,307589
Anchoa cubana,1150427
Anchoa delicatissima,332922
Anchoa filifera,1150428
Anchoa hepsetus,411572
Anchoa ischana,1249487
Anchoa lamprotaenia,1150429
Anchoa lucida,1249488
Anchoa lyolepis,411575
