"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","order","family","genus","freshwater_only","terrestrial_only"
"69","Haemopis kingi","Haemopis kingi",NA,NA,NA,NA,944488,NA,"Haemopis kingi",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Haemopidae",NA,NA,NA
"70","Aporrectodea tuberculata","Aporrectodea tuberculata",NA,NA,NA,NA,915040,NA,"Aporrectodea tuberculata",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Lumbricidae",NA,NA,NA
"71","Dendrobaena octaedra","Dendrobaena octaedra",NA,NA,NA,NA,390576,NA,"Dendrobaena octaedra",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Lumbricidae",NA,NA,NA
"72","Dendrodrilus rubidus","Dendrodrilus rubidus",NA,NA,NA,NA,1098821,NA,"Dendrodrilus rubidus",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Lumbricidae",NA,NA,NA
"73","Helobdella stagnalis","Helobdella stagnalis",NA,NA,NA,NA,621686,NA,"Helobdella stagnalis",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Glossiphoniidae",NA,NA,NA
"74","Octolasion cyaneum","Octolasion cyaneum",NA,NA,NA,NA,128736,NA,"Octolasion cyaneum",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Lumbricidae",NA,NA,NA
"75","Sparganophilus","Sparganophilus",NA,NA,NA,NA,531296,NA,"Sparganophilus",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Sparganophilidae",NA,NA,NA
"76","Dichogaster bolaui","Dichogaster bolaui",NA,NA,NA,NA,4974331,NA,"Dichogaster bolaui",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Megascolecidae",NA,NA,NA
"77","Asabellides","Asabellides",NA,NA,NA,NA,646141,NA,"Asabellides",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"sibling_higher",NA,NA,NA,"Ampharetidae",NA,NA,NA
"78","Golfingiidae","Golfingiidae",NA,NA,NA,NA,76597,NA,"Golfingiidae",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"sibling_higher",NA,NA,NA,"Golfingiidae",NA,NA,NA
"79","Brada villosa","Brada villosa",NA,NA,NA,NA,805996,NA,"Brada villosa",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"",NA,NA,NA,"Flabelligeridae",NA,NA,NA
"80","Haementeria molesta","Haementeria molesta",NA,NA,NA,NA,624349,NA,"Haementeria molesta",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Glossiphoniidae",NA,NA,NA
"81","Glossiphonia baicalensis","Glossiphonia baicalensis",NA,NA,NA,NA,779130,NA,"Glossiphonia baicalensis",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Glossiphoniidae",NA,NA,NA
"82","Theromyzon bifarium","Theromyzon bifarium",NA,NA,NA,NA,156515,NA,"Theromyzon bifarium",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Glossiphoniidae",NA,NA,NA
"83","Poecilobdella manillensis","Poecilobdella manillensis",NA,NA,NA,NA,509091,NA,"Poecilobdella manillensis",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Hirudinidae",NA,NA,NA
