"","species","scientificname","rank","kingdom","phylum","order","family","genus","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","class"
"2085","Hippasteria phrygiana","Hippasteria phrygiana (Parelius, 1768)","species","Animalia","Echinodermata","Valvatida","Goniasteridae","Hippasteria",1,50,214,810,9480,2271394,2271367,"Asteroidea"
"2086","Sunamphitoe lindbergi","Sunamphitoe lindbergi (Gurjanova, 1938)","species","Animalia","Arthropoda","Amphipoda","Ampithoidae","Sunamphitoe",1,54,229,1231,4413,2216227,9360974,"Malacostraca"
"2087","Ophiocoma aethiops","Ophiocoma aethiops Lütken, 1859","species","Animalia","Echinodermata","Ophiacanthida","Ophiocomidae","Ophiocoma",1,50,350,9659424,3220,2275293,2275428,"Ophiuroidea"
"2088","Umbellula lindahli","Umbellula lindahli Kölliker, 1875","species","Animalia","Cnidaria","Pennatulacea","Umbellulidae","Umbellula",1,43,206,710,7310,7970582,5184411,"Anthozoa"
"2089","Pachythyone lugubris","Pachythyone lugubris (Deichmann, 1939)","species","Animalia","Echinodermata","Dendrochirotida","Sclerodactylidae","Pachythyone",1,50,222,1482,5618,2279400,5966761,"Holothuroidea"
"2090","Pharia pyramidata","Pharia pyramidata (Gray, 1840)","species","Animalia","Echinodermata","Valvatida","Ophidiasteridae","Pharia",1,50,214,810,5779,2272321,5842614,"Asteroidea"
"2091","Trissopathes pseudotristicha","Trissopathes pseudotristicha Opresko, 2003","species","Animalia","Cnidaria","Antipatharia","Cladopathidae","Trissopathes",1,43,206,831,8177,2258166,2258167,"Anthozoa"
"2092","Achlyonice ecalcarea","Achlyonice ecalcarea Théel, 1879","species","Animalia","Echinodermata","Elasipodida","Elpidiidae","Achlyonice",1,50,222,823,9553,2279429,2279432,"Holothuroidea"
"2093","Scolecithricella minor","Scolecithricella minor","species","Animalia","Arthropoda","Calanoida","Scolecitrichidae","Scolecithrix",1,54,9421786,679,9054,2114638,2114711,"Hexanauplia"
"2094","Araphura breviaria","Araphura breviaria Dojiri & Sieg, 1997","species","Animalia","Arthropoda","Tanaidacea","Tanaellidae","Araphura",1,54,229,1378,5431,2228107,2228114,"Malacostraca"
"2095","Cucumaria crax","Cucumaria crax Deichmann, 1941","species","Animalia","Echinodermata","Dendrochirotida","Cucumariidae","Cucumaria",1,50,222,1482,6184,2279234,5188237,"Holothuroidea"
"2096","Isostichopus fuscus","Isostichopus fuscus (Ludwig, 1875)","species","Animalia","Echinodermata","Synallactida","Stichopodidae","Isostichopus",1,50,222,9382199,9549,4343263,5842682,"Holothuroidea"
"2097","Ophiocnida californica","Ophiocnida californica Ziesenhenne, 1940","species","Animalia","Echinodermata","Amphilepidida","Amphiuridae","Ophiocnida",1,50,350,9661062,5680,2275399,2277400,"Ophiuroidea"
"2098","Pterygioteuthis gemmata","Pterygioteuthis gemmata Chun, 1908","species","Animalia","Mollusca","Oegopsida","Pyroteuthidae","Pterygioteuthis",1,52,136,8403901,6817,2289891,2289892,"Cephalopoda"
"2099","Amphiura otteri","Amphiura otteri Ljungman, 1872","species","Animalia","Echinodermata","Amphilepidida","Amphiuridae","Amphiura",1,50,350,9661062,5680,2278224,2277959,"Ophiuroidea"
"2100","Poeobius meseres","Poeobius meseres Heath, 1930","species","Animalia","Annelida",NA,"Flabelligeridae","Poeobius",1,42,256,NA,7095,2326197,2326198,"Polychaeta"
"2101","Callogorgia kinoshitai","Callogorgia kinoshitai (Kükenthal, 1913)","species","Animalia","Cnidaria","Alcyonacea","Primnoidae","Callogorgia",1,43,206,1437,9238,2261958,9517186,"Anthozoa"
"2102","Holothuria difficilis","Holothuria difficilis Semper, 1868","species","Animalia","Echinodermata","Holothuriida","Holothuriidae","Holothuria",1,50,222,9505681,9548,2279143,4342940,"Holothuroidea"
"2103","Amphiura carchara","Amphiura carchara H.L.Clark, 1911","species","Animalia","Echinodermata","Amphilepidida","Amphiuridae","Amphiura",1,50,350,9661062,5680,2278224,2278023,"Ophiuroidea"
"2104","Grandidierella japonica","Grandidierella japonica Stephensen, 1938","species","Animalia","Arthropoda","Amphipoda","Aoridae","Grandidierella",1,54,229,1231,4415,2219147,2219149,"Malacostraca"
"2105","Ophiactis savignyi","Ophiactis savignyi (Müller & Troschel, 1842)","species","Animalia","Echinodermata","Amphilepidida","Ophiactidae","Ophiactis",1,50,350,9661062,3221,2274837,2276151,"Ophiuroidea"
"2106","Encope grandis","Encope grandis L.Agassiz, 1841","species","Animalia","Echinodermata","Clypeasteroida","Mellitidae","Encope",1,50,221,814,9519,2279051,5965212,"Echinoidea"
"2107","Thyone benti","Thyone benti Deichmann, 1937","species","Animalia","Echinodermata","Dendrochirotida","Phyllophoridae","Thyone",1,50,222,1482,9550,2279210,5188205,"Holothuroidea"
"2108","Mesocentrotus franciscanus","Mesocentrotus franciscanus (A.Agassiz, 1863)","species","Animalia","Echinodermata","Camarodonta","Strongylocentrotidae","Mesocentrotus",1,50,221,5964707,9524,4876822,6474262,"Echinoidea"
"2109","Ophiopteris papillosa","Ophiopteris papillosa (Lyman, 1875)","species","Animalia","Echinodermata","Ophiacanthida","Ophiopteridae","Ophiopteris",1,50,350,9659424,9787476,2275400,5187737,"Ophiuroidea"
"2110","Ennucula tenuis","Ennucula tenuis (Montagu, 1808)","species","Animalia","Mollusca","Nuculida","Nuculidae","Ennucula",1,52,137,8023994,6876,2285596,2285597,"Bivalvia"
"2111","Henricia aspera","Henricia aspera Fisher, 1906","species","Animalia","Echinodermata","Spinulosida","Echinasteridae","Henricia",1,50,214,1463,5541,2272135,5187419,"Asteroidea"
"2112","Haliotis kamtschatkana","Haliotis kamtschatkana Jonas, 1845","species","Animalia","Mollusca","Lepetellida","Haliotidae","Haliotis",1,52,225,9799313,3245014,2293068,2293082,"Gastropoda"
"2113","Mithrodia bradleyi","Mithrodia bradleyi Verrill, 1867","species","Animalia","Echinodermata","Valvatida","Mithrodiidae","Mithrodia",1,50,214,810,2072,2272772,2272773,"Asteroidea"
"2114","Mithrodia fisheri","Mithrodia bradleyi Fisher, 1906","species","Animalia","Echinodermata","Valvatida","Mithrodiidae","Mithrodia",1,50,214,810,2072,2272772,2272775,"Asteroidea"
"2115","Antipathes dendrochristos","Antipathes dendrochristos Opresko, 2005","species","Animalia","Cnidaria","Antipatharia","Antipathidae","Antipathes",1,43,206,831,8160,11247818,2258194,"Anthozoa"
"2116","Pseudostichopus elegans","Pseudostichopus elegans (Koehler & Vaney, 1905)","species","Animalia","Echinodermata","Persiculida","Pseudostichopodidae","Pseudostichopus",1,50,222,9513240,9263973,2279119,4877522,"Holothuroidea"
"2117","Echinometra vanbrunti","Echinometra vanbrunti A.Agassiz, 1863","species","Animalia","Echinodermata","Camarodonta","Echinometridae","Echinometra",1,50,221,5964707,9522,2278860,5842739,"Echinoidea"
"2118","Crassadoma gigantea","Crassadoma gigantea (J.E.Gray, 1825)","species","Animalia","Mollusca","Pectinida","Pectinidae","Crassadoma",1,52,137,9250425,3472,2285939,2285940,"Bivalvia"
"2119","Mediaster tenellus","Mediaster tenellus Fisher, 1905","species","Animalia","Echinodermata","Valvatida","Goniasteridae","Mediaster",1,50,214,810,9480,2271224,2271724,"Asteroidea"
"2120","Ligia occidentalis","Ligia occidentalis (Dana, 1853)","species","Animalia","Arthropoda","Isopoda","Ligiidae","Ligia",1,54,229,643,8890,2201501,5175619,"Malacostraca"
"2121","Histioteuthis heteropsis","Histioteuthis heteropsis (Berry, 1913)","species","Animalia","Mollusca","Oegopsida","Histioteuthidae","Histioteuthis",1,52,136,8403901,3433,2290611,2290654,"Cephalopoda"
"2122","Monocorophium acherusicum","Monocorophium acherusicum (Costa, 1853)","species","Animalia","Arthropoda","Amphipoda","Corophiidae","Monocorophium",1,54,229,1231,4423,2217348,2217354,"Malacostraca"
"2123","Onychoteuthis banksii","Onychoteuthis banksii (Leach, 1817)","species","Animalia","Mollusca","Oegopsida","Onychoteuthidae","Onychoteuthis",1,52,136,8403901,6819,2289812,5189669,"Cephalopoda"
"2124","Aegina citrea","Aegina citrea Eschscholtz, 1829","species","Animalia","Cnidaria","Narcomedusae","Aeginidae","Aegina",1,43,205,837,8154,2269437,5186354,"Hydrozoa"
"2125","Doryteuthis opalescens","Doryteuthis opalescens (Berry, 1911)","species","Animalia","Mollusca","Myopsida","Loliginidae","Doryteuthis",1,52,136,7954962,3431,5189697,5855962,"Cephalopoda"
"2126","Ectopleura crocea","Ectopleura crocea (Agassiz, 1862)","species","Animalia","Cnidaria","Anthoathecata","Tubulariidae","Ectopleura",1,43,205,838,7312,2265640,2265658,"Hydrozoa"
"2127","Phocoenoides dalli","Phocoenoides dalli (True, 1885)","species","Animalia","Chordata","Cetacea","Phocoenidae","Phocoenoides",1,44,359,733,9361,2440683,2440684,"Mammalia"
"2128","Raspailia hymani","Raspailia hymani (Dickinson, 1945)","species","Animalia","Porifera","Axinellida","Raspailiidae","Raspailia",1,105,199,7626496,8994,2243624,7722515,"Demospongiae"
"2129","Fabia concharum","Fabia concharum (Rathbun, 1894)","species","Animalia","Arthropoda","Decapoda","Pinnotheridae","Fabia",1,54,229,637,8672,2226833,5178720,"Malacostraca"
"2130","Aruga holmesi","Aruga holmesi J.L.Barnard, 1955","species","Animalia","Arthropoda","Amphipoda","Lysianassidae","Aruga",1,54,229,1231,8002,2218399,2218401,"Malacostraca"
"2131","Harmothoe multisetosa","Harmothoe multisetosa (Moore, 1902)","species","Animalia","Annelida","Phyllodocida","Polynoidae","Harmothoe",1,42,256,1079,7078,2315129,2313532,"Polychaeta"
"2132","Molgula napiformis","Molgula napiformis Lambert, 1993","species","Animalia","Chordata","Stolidobranchia","Molgulidae","Molgula",1,44,356,9469348,9304,11243126,4354232,"Ascidiacea"
"2133","Magelona sacculata","Magelona sacculata Hartman, 1961","species","Animalia","Annelida",NA,"Magelonidae","Magelona",1,42,256,NA,3593,2320536,2320572,"Polychaeta"
"2134","Tegula funebralis","Tegula funebralis (A.Adams, 1855)","species","Animalia","Mollusca","Trochida","Tegulidae","Tegula",1,52,225,9715180,7437686,9177272,2292844,"Gastropoda"
"2135","Discoconchoecia elegans","Discoconchoecia elegans (Sars, 1866)","species","Animalia","Arthropoda","Halocyprida","Halocyprididae","Discoconchoecia",1,54,353,701,9191,1028473,1028478,"Ostracoda"
"2136","Limnoria tripunctata","Limnoria tripunctata Menzies, 1951","species","Animalia","Arthropoda","Isopoda","Limnoriidae","Limnoria",1,54,229,643,8891,2202982,5175940,"Malacostraca"
"2137","Aplidium californicum","Aplidium californicum (Ritter & Forsyth, 1917)","species","Animalia","Chordata","Aplousobranchia","Polyclinidae","Aplidium",1,44,356,9589977,7348,2330825,2330922,"Ascidiacea"
"2138","Corynosoma strumosum","Corynosoma strumosum (Rudolphi, 1802)","species","Animalia","Acanthocephala","Polymorphida","Polymorphidae","Corynosoma",1,67,254,1075,3548,2499997,2500017,"Palaeacanthocephala"
"2139","Tryphana malmii","Tryphana malmii Boeck, 1871","species","Animalia","Arthropoda","Amphipoda","Tryphanidae","Tryphana",1,54,229,1231,4316572,2217624,6459905,"Malacostraca"
"2140","Lepeophtheirus salmonis","Lepeophtheirus salmonis (Krøyer, 1838)","species","Animalia","Arthropoda","Siphonostomatoida","Caligidae","Lepeophtheirus",1,54,9421786,1428,9171,2115989,9140419,"Hexanauplia"
"2141","Scalibregma inflatum","Scalibregma inflatum Rathke, 1843","species","Animalia","Annelida",NA,"Scalibregmatidae","Scalibregma",1,42,256,NA,6279,2318230,7815303,"Polychaeta"
"2142","Axinopsida serricata","Axinopsida serricata (Carpenter, 1864)","species","Animalia","Mollusca","Lucinida","Thyasiridae","Axinopsida",1,52,137,9306876,6843,2287508,2287516,"Bivalvia"
"2143","Haplostomella distincta","Haplostomella distincta Ooishi & Illg, 1977","species","Animalia","Arthropoda","Cyclopoida","Botryllophilidae","Haplostomella",1,54,9421786,687,3255506,2116724,2116728,"Hexanauplia"
"2144","Botrylloides violaceus","Botrylloides violaceus Oka, 1927","species","Animalia","Chordata","Stolidobranchia","Styelidae","Botrylloides",1,44,356,9469348,2331886,2332017,4354941,"Ascidiacea"
"2145","Pasiphaea magna","Pasiphaea magna Faxon, 1893","species","Animalia","Arthropoda","Decapoda","Pasiphaeidae","Pasiphaea",1,54,229,637,8671,2222266,2222283,"Malacostraca"
"2146","Californiconus californicus","Californiconus californicus (Reeve, 1844)","species","Animalia","Mollusca","Neogastropoda","Conidae","Californiconus",1,52,225,982,6779,6509602,6510970,"Gastropoda"
"2147","Enteroctopus dofleini","Enteroctopus dofleini (Wülker, 1910)","species","Animalia","Mollusca","Octopoda","Enteroctopodidae","Enteroctopus",1,52,136,459,7594089,2289483,2289485,"Cephalopoda"
"2148","Eucalanus bungii","Eucalanus bungii Giesbrecht, 1893","species","Animalia","Arthropoda","Calanoida","Eucalanidae","Eucalanus",1,54,9421786,679,9040,3255130,5166468,"Hexanauplia"
"2149","Thysanoessa longipes","Thysanoessa longipes Brandt, 1851","species","Animalia","Arthropoda","Euphausiacea","Euphausiidae","Thysanoessa",1,54,229,868,2073,2227984,2227986,"Malacostraca"
"2150","Clio pyramidata","Clio pyramidata Linnaeus, 1767","species","Animalia","Mollusca","Pteropoda","Cliidae","Clio",1,52,225,9697017,6520710,2293853,2293864,"Gastropoda"
"2151","Oithona atlantica","Oithona atlantica Farran, 1908","species","Animalia","Arthropoda","Cyclopoida","Oithonidae","Oithona",1,54,9421786,687,4990,2116690,5166645,"Hexanauplia"
"2152","Heterozonias alternatus","Heterozonias alternatus (Fisher, 1906)","species","Animalia","Echinodermata","Valvatida","Solasteridae","Heterozonias",1,50,214,810,2064,2271042,2271043,"Asteroidea"
"2153","Swiftia simplex","Swiftia simplex (Nutting, 1909)","species","Animalia","Cnidaria","Alcyonacea","Plexauridae","Swiftia",1,43,206,1437,9242,2261343,9324595,"Anthozoa"
"2154","Dermasterias imbricata","Dermasterias imbricata (Grube, 1857)","species","Animalia","Echinodermata","Valvatida","Asteropseidae","Dermasterias",1,50,214,810,5544,2271960,2271961,"Asteroidea"
"2155","Heptacarpus kincaidi","Heptacarpus kincaidi (Rathbun, 1902)","species","Animalia","Arthropoda","Decapoda","Hippolytidae","Heptacarpus",1,54,229,637,3869,2226436,2226442,"Malacostraca"
"2156","Telmessus cheiragonus","Telmessus cheiragonus (Tilesius, 1815)","species","Animalia","Arthropoda","Decapoda","Cheiragonidae","Telmessus",1,54,229,637,8031,2222060,2222061,"Malacostraca"
"2157","Kurtziella plumbea","Kurtziella plumbea (Hinds, 1843)","species","Animalia","Mollusca","Neogastropoda","Mangeliidae","Kurtziella",1,52,225,982,5857036,2303515,2303526,"Gastropoda"
"2158","Thracia trapezoides","Thracia trapezoides Conrad, 1849","species","Animalia","Mollusca",NA,"Thraciidae","Thracia",1,52,137,NA,3469,7501733,5189495,"Bivalvia"
"2159","Eulithidium pulloides","Eulithidium pulloides (Carpenter, 1865)","species","Animalia","Mollusca","Trochida","Phasianellidae","Eulithidium",1,52,225,9715180,4304872,2293270,7539948,"Gastropoda"
"2160","Pseudocalanus minutus","Pseudocalanus minutus (Krøyer, 1845)","species","Animalia","Arthropoda","Calanoida","Clausocalanidae","Pseudocalanus",1,54,9421786,679,9037,2114914,2114917,"Hexanauplia"
"2161","Anthopleura elegantissima","Anthopleura elegantissima (Brandt, 1835)","species","Animalia","Cnidaria","Actiniaria","Actiniidae","Anthopleura",1,43,206,705,5688,2256813,2256826,"Anthozoa"
"2162","Limnodriloides monothecus","Limnodriloides monothecus Cook, 1974","species","Animalia","Annelida","Haplotaxida","Naididae","Limnodriloides",1,42,255,472,6960,2308449,2308455,"Clitellata"
"2163","Muggiaea atlantica","Muggiaea atlantica Cunningham, 1892","species","Animalia","Cnidaria","Siphonophorae","Diphyidae","Muggiaea",1,43,205,6180736,8188,2264794,2264796,"Hydrozoa"
"2164","Colomastix pusilla","Colomastix pusilla Grube, 1861","species","Animalia","Arthropoda","Amphipoda","Colomastigidae","Colomastix",1,54,229,1231,7981,2216834,2216854,"Malacostraca"
"2165","Tomopteris septentrionalis","Tomopteris septentrionalis Steenstrup, 1849","species","Animalia","Annelida","Phyllodocida","Tomopteridae","Tomopteris",1,42,256,1079,3589,2312692,2312739,"Polychaeta"
"2166","Tripoplax regularis","Tripoplax regularis (Carpenter, 1855)","species","Animalia","Mollusca","Chitonida","Ischnochitonidae","Tripoplax",1,52,346,8278247,7625,4370429,4370432,"Polyplacophora"
"2167","Pollicipes polymerus","Pollicipes polymerus Sowerby, 1833","species","Animalia","Arthropoda","Pedunculata","Pollicipedidae","Pollicipes",1,54,203,697,5035,2113806,2113807,"Maxillopoda"
"2168","Paraxanthias taylori","Paraxanthias taylori (Stimpson, 1860)","species","Animalia","Arthropoda","Decapoda","Xanthidae","Paraxanthias",1,54,229,637,4568,2227776,2227777,"Malacostraca"
"2169","Tubulanus pellucidus","Tubulanus pellucidus (Coe, 1895)","species","Animalia","Nemertea",NA,"Tubulanidae","Tubulanus",1,63,7194193,NA,1994,2508085,2508132,"Palaeonemertea"
"2170","Harmothoe imbricata","Harmothoe imbricata (Linnaeus, 1767)","species","Animalia","Annelida","Phyllodocida","Polynoidae","Harmothoe",1,42,256,1079,7078,2315129,2313557,"Polychaeta"
"2171","Orcinus orca","Orcinus orca (Linnaeus, 1758)","species","Animalia","Chordata","Cetacea","Delphinidae","Orcinus",1,44,359,733,5314,2440482,2440483,"Mammalia"
"2172","Pinnixa tomentosa","Pinnixa tomentosa Lockington, 1877","species","Animalia","Arthropoda","Decapoda","Pinnotheridae","Pinnixa",1,54,229,637,8672,2226871,2226884,"Malacostraca"
"2173","Thrissacanthias penicillatus","Thrissacanthias penicillatus (Fisher, 1905)","species","Animalia","Echinodermata","Paxillosida","Astropectinidae","Thrissacanthias",1,50,214,808,5538,2270479,2270480,"Asteroidea"
"2174","Oithona similis","Oithona similis Claus, 1866","species","Animalia","Arthropoda","Cyclopoida","Oithonidae","Oithona",1,54,9421786,687,4990,2116690,5166639,"Hexanauplia"
"2175","Streblosoma bairdi","Streblosoma bairdi (Malmgren, 1866)","species","Animalia","Annelida",NA,"Terebellidae","Streblosoma",1,42,256,NA,2487,2325360,2324980,"Polychaeta"
"2176","Florometra serratissima","Florometra serratissima (AH Clark, 1907)","species","Animalia","Echinodermata","Comatulida","Antedonidae","Florometra",1,50,215,812,5590,2274587,2274589,"Crinoidea"
"2177","Paguristes turgidus","Paguristes turgidus (Stimpson, 1857)","species","Animalia","Arthropoda","Decapoda","Diogenidae","Paguristes",1,54,229,637,3862,2224457,2224489,"Malacostraca"
"2178","Munidopsis scabra","Munidopsis scabra Faxon, 1893","species","Animalia","Arthropoda","Decapoda","Munidopsidae","Munidopsis",1,54,229,637,4644257,2222638,2222650,"Malacostraca"
"2179","Calanus pacificus","Calanus pacificus Brodsky, 1948","species","Animalia","Arthropoda","Calanoida","Calanidae","Calanus",1,54,9421786,679,4902,2114971,5166395,"Hexanauplia"
"2180","Cliopsis krohnii","Cliopsis krohnii Troschel, 1854","species","Animalia","Mollusca","Pteropoda","Cliopsidae","Cliopsis",1,52,225,9697017,6786,2305850,2305851,"Gastropoda"
"2181","Kelletia kelletii","Kelletia kelletii (Forbes, 1852)","species","Animalia","Mollusca","Neogastropoda","Austrosiphonidae","Kelletia",1,52,225,982,11162301,10821750,2304727,"Gastropoda"
"2182","Leptasterias aequalis","Leptasterias aequalis (Stimpson, 1862)","species","Animalia","Echinodermata","Forcipulatida","Asteriidae","Leptasterias",1,50,214,1462,6009,2273842,2273938,"Asteroidea"
"2183","Scina wolterecki","Scina wolterecki Wagler, 1926","species","Animalia","Arthropoda","Amphipoda","Scinidae","Scina",1,54,229,1231,4461,2217380,2217388,"Malacostraca"
"2184","Chionoecetes tanneri","Chionoecetes tanneri Rathbun, 1893","species","Animalia","Arthropoda","Decapoda","Oregoniidae","Chionoecetes",1,54,229,637,4529,2226637,2226638,"Malacostraca"
"2185","Delphinus delphis","Delphinus delphis Linnaeus, 1758","species","Animalia","Chordata","Cetacea","Delphinidae","Delphinus",1,44,359,733,5314,2440326,8324617,"Mammalia"
"2186","Ophiopholis kennerlyi","Ophiopholis kennerlyi Lyman, 1860","species","Animalia","Echinodermata","Amphilepidida","Ophiopholidae","Ophiopholis",1,50,350,9661062,9795513,2276104,2276116,"Ophiuroidea"
"2187","Armadilloniscus lindahli","Armadilloniscus lindahli (Richardson, 1905)","species","Animalia","Arthropoda","Isopoda","Detonidae","Armadilloniscus",1,54,229,643,8884,2207561,2207576,"Malacostraca"
"2188","Chorilia turgida","Chorilia turgida Rathbun, 1924","species","Animalia","Arthropoda","Decapoda","Epialtidae","Chorilia",1,54,229,637,3865,2226722,5970543,"Malacostraca"
"2189","Hesionura coineaui","Hesionura coineaui (Laubier, 1962)","species","Animalia","Annelida","Phyllodocida","Phyllodocidae","Hesionura",1,42,256,1079,6973,2312367,2312368,"Polychaeta"
"2190","Thysanocardia nigra","Thysanocardia nigra (Ikeda, 1904)","species","Animalia","Sipuncula","Golfingiiformes","Golfingiidae","Thysanocardia",1,74,159,539,7339,2509916,2509932,"Sipunculidea"
"2191","Chaetoderma pacificum","Chaetoderma pacificum (Schwabl, 1963)","species","Animalia","Mollusca","Chaetodermatida","Chaetodermatidae","Chaetoderma",1,52,8066236,7441141,1985,2288997,5189548,"Caudofoveata"
"2192","Chthamalus dalli","Chthamalus dalli Pilsbry, 1916","species","Animalia","Arthropoda","Sessilia","Chthamalidae","Chthamalus",1,54,203,1426,5104,2115612,2115614,"Maxillopoda"
"2193","Cirolana harfordi","Cirolana harfordi (Lockington, 1877)","species","Animalia","Arthropoda","Isopoda","Cirolanidae","Cirolana",1,54,229,643,5347,2201569,2213440,"Malacostraca"
"2194","Haliotis cracherodii","Haliotis cracherodii Leach, 1814","species","Animalia","Mollusca","Lepetellida","Haliotidae","Haliotis",1,52,225,9799313,3245014,2293068,2293077,"Gastropoda"
"2195","Myxicola infundibulum","Myxicola infundibulum (Montagu, 1808)","species","Animalia","Annelida","Sabellida","Sabellidae","Myxicola",1,42,256,1080,7084,2329275,2329277,"Polychaeta"
"2196","Natatolana carlenae","Natatolana carlenae Brusca, Wetzer & France, 1995","species","Animalia","Arthropoda","Isopoda","Cirolanidae","Natatolana",1,54,229,643,5347,2213180,2213222,"Malacostraca"
"2197","Polydora cornuta","Polydora cornuta Bosc, 1802","species","Animalia","Annelida",NA,"Spionidae","Polydora",1,42,256,NA,3595,2320839,5197747,"Polychaeta"
"2198","Calcigorgia beringi","Calcigorgia beringi (Nutting, 1912)","species","Animalia","Cnidaria","Alcyonacea","Acanthogorgiidae","Calcigorgia",1,43,206,1437,8152,4283838,5841688,"Anthozoa"
"2199","Tursiops truncatus","Tursiops truncatus (Montagu, 1821)","species","Animalia","Chordata","Cetacea","Delphinidae","Tursiops",1,44,359,733,5314,2440446,2440447,"Mammalia"
"2200","Micronephthys cornuta","Micronephthys cornuta (Berkeley & Berkeley, 1945)","species","Animalia","Annelida","Phyllodocida","Nephtyidae","Micronephthys",1,42,256,1079,2316797,2317053,7361966,"Polychaeta"
"2201","Pandora bilirata","Pandora bilirata Conrad, 1855","species","Animalia","Mollusca",NA,"Pandoridae","Pandora",1,52,137,NA,6866,2288422,5189384,"Bivalvia"
"2202","Grampus griseus","Grampus griseus (G.Cuvier, 1812)","species","Animalia","Chordata","Cetacea","Delphinidae","Grampus",1,44,359,733,5314,5220026,5220027,"Mammalia"
"2203","Pentidotea wosnesenskii","Pentidotea wosnesenskii (Brandt, 1851)","species","Animalia","Arthropoda","Isopoda","Idoteidae","Pentidotea",1,54,229,643,8888,2204871,2204885,"Malacostraca"
"2204","Harbansus mayeri","Harbansus mayeri Kornicker, 1978","species","Animalia","Arthropoda","Myodocopida","Philomedidae","Harbansus",1,54,353,1430,9195,1030691,1030699,"Ostracoda"
"2205","Polyandrocarpa zorritensis","Polyandrocarpa zorritensis (Van Name, 1931)","species","Animalia","Chordata","Stolidobranchia","Styelidae","Polyandrocarpa",1,44,356,9469348,2331886,2332035,2332062,"Ascidiacea"
"2206","Marphysa sanguinea","Marphysa sanguinea (Montagu, 1813)","species","Animalia","Annelida","Eunicida","Eunicidae","Marphysa",1,42,256,865,2049,2322157,2322248,"Polychaeta"
"2207","Vampyroteuthis infernalis","Vampyroteuthis infernalis Chun, 1903","species","Animalia","Mollusca","Vampyromorpha","Vampyroteuthidae","Vampyroteuthis",1,52,136,7852764,2868,2290923,2290924,"Cephalopoda"
"2208","Magelona longicornis","Magelona longicornis Johnson, 1901","species","Animalia","Annelida",NA,"Magelonidae","Magelona",1,42,256,NA,3593,2320536,2320543,"Polychaeta"
"2209","Mimocalanus heronae","Mimocalanus heronae Damkaer, 1975","species","Animalia","Arthropoda","Calanoida","Spinocalanidae","Mimocalanus",1,54,9421786,679,9055,2114867,2114875,"Hexanauplia"
"2210","Spirobranchus spinosus","Spirobranchus spinosus Moore, 1923","species","Animalia","Annelida","Sabellida","Serpulidae","Spirobranchus",1,42,256,1080,7086,5199462,5199706,"Polychaeta"
"2211","Microcalanus pusillus","Microcalanus pusillus Sars G.O., 1903","species","Animalia","Arthropoda","Calanoida","Clausocalanidae","Microcalanus",1,54,9421786,679,9037,2114924,2114926,"Hexanauplia"
"2212","Nephtys schmitti","Nephtys schmitti Hartman, 1938","species","Animalia","Annelida","Phyllodocida","Nephtyidae","Nephtys",1,42,256,1079,2316797,2316914,2316940,"Polychaeta"
"2213","Echinorhynchus gadi","Echinorhynchus gadi Zoega, 1776","species","Animalia","Acanthocephala","Echinorhynchida","Echinorhynchidae","Echinorhynchus",1,67,254,1074,6939,2499318,2500620,"Palaeacanthocephala"
"2214","Diastylis californica","Diastylis californica Zimmer, 1936","species","Animalia","Arthropoda","Cumacea","Diastylidae","Diastylis",1,54,229,1500,9676,2214422,2214466,"Malacostraca"
"2215","Paracerceis sculpta","Paracerceis sculpta (Holmes, 1904)","species","Animalia","Arthropoda","Isopoda","Sphaeromatidae","Paracerceis",1,54,229,643,2045,2206587,2206602,"Malacostraca"
"2216","Bugula neritina","Bugula neritina (Linnaeus, 1758)","species","Animalia","Bryozoa","Cheilostomatida","Bugulidae","Bugula",1,53,252,467,2105,1006263,4984851,"Gymnolaemata"
"2217","Alloeoleucon santamariensis","Alloeoleucon santamariensis Watling & McCann, 1996","species","Animalia","Arthropoda","Cumacea","Leuconidae","Alloeoleucon",1,54,229,1500,5305,2215516,2215517,"Malacostraca"
"2218","Mytilus californianus","Mytilus californianus Conrad, 1837","species","Animalia","Mollusca","Mytilida","Mytilidae","Mytilus",1,52,137,9330464,3476,2285679,2285680,"Bivalvia"
"2219","Alloniscus perconvexus","Alloniscus perconvexus Dana, 1856","species","Animalia","Arthropoda","Isopoda","Alloniscidae","Alloniscus",1,54,229,643,8685,2205081,2205270,"Malacostraca"
"2220","Poecillastra tenuilaminaris","Poecillastra tenuilaminaris (Sollas, 1886)","species","Animalia","Porifera","Tetractinellida","Vulcanellidae","Poecillastra",1,105,199,7544483,6486266,2248520,2248553,"Demospongiae"
"2221","Spirontocaris sica","Spirontocaris sica Rathbun, 1902","species","Animalia","Arthropoda","Decapoda","Hippolytidae","Spirontocaris",1,54,229,637,3869,2226295,2226316,"Malacostraca"
"2222","Munneurycope murrayi","Munneurycope murrayi (Walker, 1903)","species","Animalia","Arthropoda","Isopoda","Munnopsidae","Munneurycope",1,54,229,643,5379,2199667,2199668,"Malacostraca"
"2223","Ophiolimna bairdi","Ophiolimna bairdi (Lyman, 1883)","species","Animalia","Echinodermata","Ophiacanthida","Ophiacanthidae","Ophiolimna",1,50,350,9659424,3222,2274803,2274811,"Ophiuroidea"
