"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
"20689","Lepralia plana",1004852,"Lepralia lata Busk, 1856","species","SYNONYM","FUZZY","Lepralia lata",8,"Animalia","Bryozoa","Cheilostomatida","Cheiloporinidae","Hagiosynodos","Hagiosynodos latus",1,53,252,467,2112,1004847,1004851,TRUE,"Gymnolaemata","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0",1004851
"20829","Leucosyrinx amycus",6513127,"Leucosyrinx erica Thiele, 1925","species","SYNONYM","FUZZY","Leucosyrinx erica",13,"Animalia","Mollusca","Neogastropoda","Pseudomelatomidae","Comitas","Comitas erica",1,52,225,982,6770,2305278,6513126,TRUE,"Gastropoda","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",6513126
"20913","Lineus rufus",8949975,"Lanius rufus Linnaeus, 1766","species","ACCEPTED","FUZZY","Lanius rufus",0,"Animalia","Chordata","Passeriformes","Laniidae","Lanius","Lanius rufus",1,44,212,729,9315,2483315,8949975,FALSE,"Aves","Similarity: name=-10; authorship=0; classification=-2; rank=5; status=1; singleMatch=5",NA
"21016","Lora amiata",6533495,"Leda amiata Dall, 1916","species","SYNONYM","FUZZY","Leda amiata",0,"Animalia","Mollusca","Nuculanida","Nuculanidae","Nuculana","Nuculana leonina",1,52,137,9405932,3475,2285399,2285438,TRUE,"Bivalvia","Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",2285438
"21039","Lora solida",6533559,"Leda solida Dall, 1881","species","SYNONYM","FUZZY","Leda solida",-7,"Animalia","Mollusca","Nuculanida","Nuculanidae","Nuculana","Nuculana solida",1,52,137,9405932,3475,2285399,6533555,TRUE,"Bivalvia","Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0",6533555
"21040","Lora solida",6530327,"Lima solida Calcara, 1845","species","SYNONYM","FUZZY","Lima solida",-7,"Animalia","Mollusca","Limida","Limidae","Acesta","Acesta excavata",1,52,137,9380407,3480,2288745,5189501,TRUE,"Bivalvia","Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0",5189501
"21045","Lora woodiana",10988031,"Leda woodiana Deshayes, 1858","species","SYNONYM","FUZZY","Leda woodiana",0,"Animalia","Mollusca","Nuculanida","Yoldiidae","Yoldiella","Yoldiella philippiana",1,52,137,9405932,6873,2285533,2285558,TRUE,"Bivalvia","Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",2285558
"21186","Macrorhynchia dalli",2267323,"Macrorhynchia balei (Nutting, 1906)","species","ACCEPTED","FUZZY","Macrorhynchia balei",14,"Animalia","Cnidaria","Leptothecata","Aglaopheniidae","Macrorhynchia","Macrorhynchia balei",1,43,205,712,8156,2267055,2267323,FALSE,"Hydrozoa","Similarity: name=5; authorship=0; classification=-2; rank=5; status=1; singleMatch=5",NA
"21236","Mangilia nunivakensis",2303419,"Mangelia munivakensis Dall, 1919","species","ACCEPTED","FUZZY","Mangelia munivakensis",0,"Animalia","Mollusca","Neogastropoda","Mangeliidae","Mangelia","Mangelia munivakensis",1,52,225,982,5857036,11246275,2303419,FALSE,"Gastropoda","Similarity: name=-10; authorship=0; classification=-2; rank=5; status=1; singleMatch=5",NA
"21243","Mara confervicola",6461783,"Maera confervicolus Stimpson, 1856","species","SYNONYM","FUZZY","Maera confervicolus",0,"Animalia","Arthropoda","Amphipoda","Anisogammaridae","Eogammarus","Eogammarus confervicolus",1,54,229,1231,4414,2217429,2217431,TRUE,"Malacostraca","Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",2217431
"21245","Marcoma leptonoidea",2286988,"Macoma leptonoidea Dall, 1895","species","SYNONYM","FUZZY","Macoma leptonoidea",0,"Animalia","Mollusca","Cardiida","Tellinidae","Macoma","Macoma carlottensis",1,52,137,9529005,3448,2286987,2287017,TRUE,"Bivalvia","Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",2287017
"21258","Margarita paupercula",8037249,"Margarites pauperculus Dall, 1919","species","SYNONYM","FUZZY","Margarites pauperculus",73,"Animalia","Mollusca","Trochida","Solariellidae","Solariella","Solariella varicosa",1,52,225,9715180,4607341,2292880,5190219,TRUE,"Gastropoda","Similarity: name=65; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",5190219
